TimeVote,Classroom,ID,Moment,Student,Clothing,Activity,ActivityOther,WindowOpening,ThermalSatisfaction,IAQSatisfaction,AcousticSatisfaction,VisualSatisfaction,DissatisfactionThermal,DissatisfactionThermalOther,DissatisfactionIAQ,DissatisfactionIAQOther,DissatisfactionAcoustic,DissatisfactionAcousticOther,DissatisfactionVisual,DissatisfactionVisualOther,IEQSatisfaction,IEQRemarks,Trm,VOC_Back,CO2_Back,LightLux_Back,RH_Back,SoundLevel_Back,SoundMax_Back,SoundMin_Back,Temp_Back,Time_Back,VOC_Middle,CO2_Middle,LightLux_Middle,RH_Middle,SoundLevel_Middle,SoundMax_Middle,SoundMin_Middle,Temp_Middle,EA_Middle,Trend_T_Middle,Time_Middle,VOC_Front,CO2_Front,LightLux_Front,RH_Front,SoundLevel_Front,SoundMax_Front,SoundMin_Front,Temp_Front,Time_Front,Location_V,Location_H,LocationBack,LocationFront,LocationBlackboard,LocationDoorLeft,LocationDoorRight,LocationMiddleLeft,LocationMiddleMiddle,LocationMiddleRight,LocationWindowLeft,LocationWindowRight,Thermal_Warm,Thermal_Cold,Thermal_Draft,Thermal_Other,IAQ_Stuffy,IAQ_Odour,IAQ_Dry,IAQ_Humid,IAQ_Other,AC_NoiseClassroom,AC_NoiseHallway,AC_NoiseBeamer,AC_OutsideNoise,AC_Other,VIS_BlackboardVisibility,VIS_Underexposure,VIS_Overexposure,VIS_Glare,VIS_Other,Gender,Age
21/04/2021 10:29,A,DB2_20,Start,True,Neutral,Other,Beginning course,Multiple windows tilted,2,3,4,4,Too warm,,,,,,,,2,Too warm and stuffy,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Back,DoorLeft,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
21/04/2021 10:29,A,DB2_8,Start,True,Neutral,Passive course,,One window tilted,4,3,4,3,,,,,,,,,3,No,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Back,DoorLeft,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
21/04/2021 10:29,A,DB2_6 ,Start,True,Neutral,Other,Beginning course,Multiple windows fully open,2,3,3,4,Too warm,,,,,,,,3,Too warm,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Back,DoorRight,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
21/04/2021 10:30,A,DB2_1,Start,True,Warmly,Other,Beginning course,Multiple windows tilted,3,3,4,5,,,,,,,,,3,Non ,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Back,MiddleLeft,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
21/04/2021 10:30,A,DB2_21,Start,True,Neutral,Not applicable,,Multiple windows tilted,3,2,1,5,,,Stuffy,,Noise classroom,,,,2,,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Front,DoorLeft,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,16
21/04/2021 10:30,A,DB2_11,Start,True,Neutral,Passive course,,One window tilted,3,3,3,1,,,,,,,Glare,,2,,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Back,WindowLeft,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,16
21/04/2021 10:30,A,DB2_23,Start,True,Neutral,Other,Beginning course,Multiple windows tilted,2,3,3,3,Too warm,,,,,,,,3,,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Front,WindowLeft,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
21/04/2021 10:30,A,DB2_16,Start,True,Neutral,Not applicable,,Multiple windows tilted,4,4,4,4,,,,,,,,,4,,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Front,MiddleRight,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,15
21/04/2021 10:30,A,DB2_25,Start,True,Warmly,Not applicable,,Multiple windows tilted,2,2,3,4,Too warm,,"Stuffy, Odour",,,,,,3,,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Back,WindowRight,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,
21/04/2021 10:30,A,DB2_7,Start,True,Neutral,Not applicable,,Multiple windows tilted,2,2,3,4,Too warm,,Stuffy,,,,,,2,,12.6,633.445,0,317.731,32.448,71.717,77.227,40.992,23.4,21/04/2021 10:29,675.152,743,214.567,31.015,60.004,65.526,37.756,23.683,38.09,-0.072,21/04/2021 10:27,428.574,652,167.738,34.008,60.118,71.806,43.648,22.562,21/04/2021 10:29,Back,DoorRight,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,16
