school_id,room_id,date,time,manuf_id,instr_id,co2_v,temp_v
no-1,11,2023-10-31,22:01,sdanlegg,schneider,381.0,17.9
no-1,11,2023-10-31,23:01,sdanlegg,schneider,375.0,18.0
no-1,11,2023-11-01,00:01,sdanlegg,schneider,374.0,18.7
no-1,11,2023-11-01,01:01,sdanlegg,schneider,366.0,18.2
no-1,11,2023-11-01,02:01,sdanlegg,schneider,367.0,17.8
no-1,11,2023-11-01,03:01,sdanlegg,schneider,367.0,18.8
no-1,11,2023-11-01,04:01,sdanlegg,schneider,362.0,18.1
no-1,11,2023-11-01,05:01,sdanlegg,schneider,366.0,18.6
no-1,11,2023-11-01,06:01,sdanlegg,schneider,366.0,18.3
no-1,11,2023-11-01,07:01,sdanlegg,schneider,377.0,19.6
no-1,11,2023-11-01,08:01,sdanlegg,schneider,685.0,21.2
no-1,11,2023-11-01,09:01,sdanlegg,schneider,701.0,22.1
no-1,11,2023-11-01,10:01,sdanlegg,schneider,670.0,21.9
no-1,11,2023-11-01,11:01,sdanlegg,schneider,757.0,22.5
no-1,11,2023-11-01,12:01,sdanlegg,schneider,450.0,21.8
no-1,11,2023-11-01,13:01,sdanlegg,schneider,454.0,21.6
no-1,11,2023-11-01,14:01,sdanlegg,schneider,376.0,21.4
no-1,11,2023-11-01,15:01,sdanlegg,schneider,378.0,20.5
no-1,11,2023-11-01,16:01,sdanlegg,schneider,375.0,20.0
no-1,11,2023-11-01,17:01,sdanlegg,schneider,381.0,19.2
no-1,11,2023-11-01,18:01,sdanlegg,schneider,388.0,18.9
no-1,11,2023-11-01,19:01,sdanlegg,schneider,381.0,18.6
no-1,11,2023-11-01,20:01,sdanlegg,schneider,371.0,18.4
no-1,11,2023-11-01,21:01,sdanlegg,schneider,388.0,18.3
no-1,11,2023-11-01,22:01,sdanlegg,schneider,377.0,18.1
no-1,11,2023-11-01,23:01,sdanlegg,schneider,371.0,18.0
no-1,11,2023-11-02,00:01,sdanlegg,schneider,378.0,17.9
no-1,11,2023-11-02,01:01,sdanlegg,schneider,371.0,18.7
no-1,11,2023-11-02,02:01,sdanlegg,schneider,374.0,18.4
no-1,11,2023-11-02,03:01,sdanlegg,schneider,380.0,18.0
