school_id,room_id,date,time,manuf_id,instr_id,temp_a,rh_a,press_a,co2_a,voc_a,bright_a,rdn_a
no-1,11,2023-12-31,23:09,airthings,spaceplus,19.2,22.0,993.0,438.0,48.0,2.0,100.0
no-1,11,2023-12-31,23:14,airthings,spaceplus,19.3,22.0,993.0,441.0,46.0,2.0,100.0
no-1,11,2023-12-31,23:19,airthings,spaceplus,19.4,22.0,993.0,443.0,46.0,2.0,100.0
no-1,11,2023-12-31,23:24,airthings,spaceplus,19.4,22.0,993.0,443.0,65.0,2.0,100.0
no-1,11,2023-12-31,23:29,airthings,spaceplus,19.4,22.0,994.0,443.0,46.0,2.0,100.0
no-1,11,2023-12-31,23:34,airthings,spaceplus,19.4,22.0,993.0,442.0,54.0,1.0,92.0
no-1,11,2023-12-31,23:39,airthings,spaceplus,19.4,22.0,993.0,441.0,58.0,1.0,92.0
no-1,11,2023-12-31,23:44,airthings,spaceplus,19.4,22.0,994.0,440.0,63.0,1.0,92.0
no-1,11,2023-12-31,23:49,airthings,spaceplus,19.3,22.0,994.0,437.0,58.0,1.0,92.0
no-1,11,2023-12-31,23:54,airthings,spaceplus,19.2,22.0,993.0,439.0,71.0,3.0,92.0
no-1,11,2023-12-31,23:59,airthings,spaceplus,19.2,22.0,993.0,438.0,67.0,2.0,92.0
no-1,11,2024-01-01,00:04,airthings,spaceplus,19.1,22.0,993.0,436.0,72.0,2.0,92.0
no-1,11,2024-01-01,00:09,airthings,spaceplus,19.1,22.0,994.0,437.0,65.0,2.0,92.0
no-1,11,2024-01-01,00:14,airthings,spaceplus,19.0,22.0,993.0,441.0,59.0,2.0,92.0
no-1,11,2024-01-01,00:19,airthings,spaceplus,19.0,22.0,993.0,441.0,75.0,1.0,92.0
no-1,11,2024-01-01,00:24,airthings,spaceplus,18.9,22.0,993.0,439.0,56.0,1.0,92.0
no-1,11,2024-01-01,00:29,airthings,spaceplus,18.9,22.0,993.0,438.0,78.0,1.0,92.0
no-1,11,2024-01-01,00:34,airthings,spaceplus,18.9,22.0,993.0,436.0,54.0,2.0,89.0
no-1,11,2024-01-01,00:39,airthings,spaceplus,19.0,22.0,993.0,438.0,48.0,1.0,89.0
no-1,11,2024-01-01,00:44,airthings,spaceplus,19.1,22.0,993.0,437.0,58.0,2.0,89.0
no-1,11,2024-01-01,00:49,airthings,spaceplus,19.2,22.0,993.0,437.0,58.0,2.0,89.0
no-1,11,2024-01-01,00:54,airthings,spaceplus,19.3,22.0,993.0,442.0,61.0,2.0,89.0
no-1,11,2024-01-01,00:59,airthings,spaceplus,19.3,22.0,993.0,444.0,59.0,2.0,89.0
no-1,11,2024-01-01,01:04,airthings,spaceplus,19.4,22.0,993.0,445.0,58.0,1.0,89.0
no-1,11,2024-01-01,01:09,airthings,spaceplus,19.4,22.0,993.0,444.0,54.0,1.0,89.0
no-1,11,2024-01-01,01:14,airthings,spaceplus,19.4,22.0,993.0,441.0,56.0,1.0,89.0
no-1,11,2024-01-01,01:19,airthings,spaceplus,19.4,22.0,993.0,444.0,63.0,2.0,89.0
