model,fold,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
Logistic regression,1,5467,1367,0.48719824433065106,0.472290600469071,0.4078699199351374,0.5234264961367311,0.6656912948061449
Logistic regression,2,5467,1367,0.479151426481346,0.4454961123387582,0.3916710857748906,0.5191956435868638,0.6656912948061449
Logistic regression,3,5467,1367,0.49890270665691294,0.4914405759283218,0.41865866713171207,0.5372203161553852,0.6649597659107535
Logistic regression,4,5467,1367,0.4740307242136064,0.45146937922697106,0.39018559817198434,0.5118391737546691,0.6839795171909291
Logistic regression,5,5468,1366,0.4743777452415813,0.4594482830245313,0.3954058125132795,0.5115673819117533,0.6749633967789166
Random Forest,1,5467,1367,0.7103145574250183,0.6102058607061572,0.6012965246917814,0.7061742453060343,0.3291880029261156
Random Forest,2,5467,1367,0.7125091441111924,0.581817648298181,0.5775697255960414,0.7101413622825281,0.3247988295537674
Random Forest,3,5467,1367,0.7190929041697147,0.6001562134573396,0.596551260164031,0.7170469567619184,0.32553035844915873
Random Forest,4,5467,1367,0.7066569129480614,0.5823442257951283,0.5822178600235862,0.7015471850997415,0.34162399414776884
Random Forest,5,5468,1366,0.7152269399707174,0.5455325848726797,0.554110479244122,0.7070466145579384,0.3103953147877013
Extra Trees,1,5467,1367,0.7300658376005852,0.628861023527643,0.6204876013258277,0.7294419095209834,0.3108997805413314
Extra Trees,2,5467,1367,0.719824433065106,0.5892193035265619,0.5862843521297402,0.7177023687977513,0.3167520117044623
Extra Trees,3,5467,1367,0.7293343087051939,0.601427137528003,0.6030811447385972,0.7269216709515207,0.3130943672275055
Extra Trees,4,5467,1367,0.7154352596927579,0.5937540849088595,0.5921802547235903,0.713842767269285,0.3291880029261156
Extra Trees,5,5468,1366,0.7152269399707174,0.5451342978338382,0.5534191195412959,0.709111848021441,0.3118594436310395
Gradient boosting,1,5467,1367,0.6861741038771031,0.44858299106259675,0.4711293075539899,0.6279762708275701,0.3606437454279444
Gradient boosting,2,5467,1367,0.6920263350402341,0.4419251260334926,0.4572202576959537,0.6341391774646835,0.3511338697878566
Gradient boosting,3,5467,1367,0.703730797366496,0.4583109508532924,0.4797701405205872,0.6510552855755197,0.3474762253108998
Gradient boosting,4,5467,1367,0.6927578639356254,0.45254822017413926,0.47613876786076875,0.6361891531508115,0.3584491587417703
Gradient boosting,5,5468,1366,0.6852122986822841,0.42635537522807443,0.43369027218945155,0.6237472541245788,0.3623718887262079
ANN / MLP,1,5467,1367,0.7029992684711046,0.5178205651014812,0.5470683008228322,0.6845697466589719,0.337966349670812
ANN / MLP,2,5467,1367,0.709583028529627,0.49241093416308956,0.5143079879986163,0.6841549517477247,0.3335771762984638
ANN / MLP,3,5467,1367,0.6934893928310168,0.4821429614630645,0.5029246818832099,0.6698160934792633,0.34820775420629113
ANN / MLP,4,5467,1367,0.6832479882955377,0.4932351101655905,0.5129252110076944,0.6630303509484122,0.3672275054864667
ANN / MLP,5,5468,1366,0.6998535871156661,0.4909010494173254,0.509334951927994,0.6772216669910024,0.33601756954612005
