model,true_class,predicted_class,count
Logistic regression,dissatisfied,dissatisfied,233
Logistic regression,dissatisfied,neutral,116
Logistic regression,dissatisfied,satisfied,135
Logistic regression,neutral,dissatisfied,501
Logistic regression,neutral,neutral,722
Logistic regression,neutral,satisfied,632
Logistic regression,satisfied,dissatisfied,916
Logistic regression,satisfied,neutral,1235
Logistic regression,satisfied,satisfied,2344
Random Forest,dissatisfied,dissatisfied,210
Random Forest,dissatisfied,neutral,136
Random Forest,dissatisfied,satisfied,138
Random Forest,neutral,dissatisfied,185
Random Forest,neutral,neutral,889
Random Forest,neutral,satisfied,781
Random Forest,satisfied,dissatisfied,129
Random Forest,satisfied,neutral,594
Random Forest,satisfied,satisfied,3772
Extra Trees,dissatisfied,dissatisfied,202
Extra Trees,dissatisfied,neutral,146
Extra Trees,dissatisfied,satisfied,136
Extra Trees,neutral,dissatisfied,177
Extra Trees,neutral,neutral,964
Extra Trees,neutral,satisfied,714
Extra Trees,satisfied,dissatisfied,126
Extra Trees,satisfied,neutral,601
Extra Trees,satisfied,satisfied,3768
Gradient boosting,dissatisfied,dissatisfied,90
Gradient boosting,dissatisfied,neutral,89
Gradient boosting,dissatisfied,satisfied,305
Gradient boosting,neutral,dissatisfied,42
Gradient boosting,neutral,neutral,375
Gradient boosting,neutral,satisfied,1438
Gradient boosting,satisfied,dissatisfied,23
Gradient boosting,satisfied,neutral,208
Gradient boosting,satisfied,satisfied,4264
ANN / MLP,dissatisfied,dissatisfied,106
ANN / MLP,dissatisfied,neutral,151
ANN / MLP,dissatisfied,satisfied,227
ANN / MLP,neutral,dissatisfied,72
ANN / MLP,neutral,neutral,725
ANN / MLP,neutral,satisfied,1058
ANN / MLP,satisfied,dissatisfied,63
ANN / MLP,satisfied,neutral,494
ANN / MLP,satisfied,satisfied,3938
