model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,1,1,Student,Student,0.4078699199351374,0.38391415720628225,0.023955762728855134
Logistic regression,1,2,Student,Student,0.4078699199351374,0.3829042184577747,0.024965701477362656
Logistic regression,1,3,Student,Student,0.4078699199351374,0.3896182923780964,0.01825162755704096
Logistic regression,1,4,Student,Student,0.4078699199351374,0.3839215520503216,0.023948367884815802
Logistic regression,1,5,Student,Student,0.4078699199351374,0.38609923409125435,0.02177068584388303
Logistic regression,1,1,Temperature,Temperature,0.4078699199351374,0.3628569576979772,0.04501296223716017
Logistic regression,1,2,Temperature,Temperature,0.4078699199351374,0.3614666163171622,0.04640330361797518
Logistic regression,1,3,Temperature,Temperature,0.4078699199351374,0.3732513640996347,0.03461855583550266
Logistic regression,1,4,Temperature,Temperature,0.4078699199351374,0.3527401143809586,0.05512980555417879
Logistic regression,1,5,Temperature,Temperature,0.4078699199351374,0.3783005711550602,0.029569348780077165
Logistic regression,1,1,RH,RH,0.4078699199351374,0.39466279007951915,0.013207129855618227
Logistic regression,1,2,RH,RH,0.4078699199351374,0.3963033749228381,0.011566545012299256
Logistic regression,1,3,RH,RH,0.4078699199351374,0.40718350741703563,0.0006864125181017533
Logistic regression,1,4,RH,RH,0.4078699199351374,0.3819744732442352,0.025895446690902157
Logistic regression,1,5,RH,RH,0.4078699199351374,0.3846434064606603,0.023226513474477073
Logistic regression,1,1,CLO,CLO,0.4078699199351374,0.3850193340448213,0.022850585890316077
Logistic regression,1,2,CLO,CLO,0.4078699199351374,0.3948574115533104,0.013012508381826993
Logistic regression,1,3,CLO,CLO,0.4078699199351374,0.3983007929417543,0.009569126993383081
Logistic regression,1,4,CLO,CLO,0.4078699199351374,0.391883881868259,0.015986038066878372
Logistic regression,1,5,CLO,CLO,0.4078699199351374,0.39668171165135285,0.011188208283784529
Logistic regression,1,1,CO2,CO2,0.4078699199351374,0.3979448507079324,0.009925069227204986
Logistic regression,1,2,CO2,CO2,0.4078699199351374,0.40100618705231855,0.006863732882818829
Logistic regression,1,3,CO2,CO2,0.4078699199351374,0.40023655977508116,0.007633360160056224
Logistic regression,1,4,CO2,CO2,0.4078699199351374,0.39413011211826676,0.01373980781687062
Logistic regression,1,5,CO2,CO2,0.4078699199351374,0.4012666565334144,0.0066032634017229586
Logistic regression,1,1,Lighting,Lighting,0.4078699199351374,0.40817765366222386,-0.00030773372708647884
Logistic regression,1,2,Lighting,Lighting,0.4078699199351374,0.39616981500929144,0.011700104925845944
Logistic regression,1,3,Lighting,Lighting,0.4078699199351374,0.40501346543036626,0.002856454504771122
Logistic regression,1,4,Lighting,Lighting,0.4078699199351374,0.39700364123160653,0.010866278703530852
Logistic regression,1,5,Lighting,Lighting,0.4078699199351374,0.395910960435951,0.011958959499186406
Logistic regression,1,1,Sound,Sound,0.4078699199351374,0.39762509448223743,0.010244825452899953
Logistic regression,1,2,Sound,Sound,0.4078699199351374,0.3897870224587094,0.018082897476427995
Logistic regression,1,3,Sound,Sound,0.4078699199351374,0.39761807084201556,0.010251849093121823
Logistic regression,1,4,Sound,Sound,0.4078699199351374,0.39996803072020054,0.007901889214936841
Logistic regression,1,5,Sound,Sound,0.4078699199351374,0.3932355281622097,0.01463439177292769
Logistic regression,1,1,Age,Age,0.4078699199351374,0.3858680282072895,0.02200189172784789
Logistic regression,1,2,Age,Age,0.4078699199351374,0.3878528306817939,0.0200170892533435
Logistic regression,1,3,Age,Age,0.4078699199351374,0.3833539062454725,0.024516013689664884
Logistic regression,1,4,Age,Age,0.4078699199351374,0.38889301352587163,0.018976906409265748
Logistic regression,1,5,Age,Age,0.4078699199351374,0.3951230970506039,0.012746822884533493
Logistic regression,1,1,Gender,Gender,0.4078699199351374,0.41162724767062425,-0.0037573277354868706
Logistic regression,1,2,Gender,Gender,0.4078699199351374,0.4050417162335818,0.002828203701555565
Logistic regression,1,3,Gender,Gender,0.4078699199351374,0.4021428623377594,0.00572705759737796
Logistic regression,1,4,Gender,Gender,0.4078699199351374,0.39825129290229366,0.009618627032843718
Logistic regression,1,5,Gender,Gender,0.4078699199351374,0.4152352310199909,-0.007365311084853499
Logistic regression,1,1,EA,EA,0.4078699199351374,0.4101515348159633,-0.0022816148808258996
Logistic regression,1,2,EA,EA,0.4078699199351374,0.3982469894680123,0.00962293046712509
Logistic regression,1,3,EA,EA,0.4078699199351374,0.4076000348428311,0.000269885092306299
Logistic regression,1,4,EA,EA,0.4078699199351374,0.39591270534628364,0.011957214588853737
Logistic regression,1,5,EA,EA,0.4078699199351374,0.38220159027584893,0.025668329659288447
Logistic regression,1,1,LocationBack,LocationBack,0.4078699199351374,0.3852687974262068,0.022601122508930593
Logistic regression,1,2,LocationBack,LocationBack,0.4078699199351374,0.3835112421110692,0.024358677824068198
Logistic regression,1,3,LocationBack,LocationBack,0.4078699199351374,0.3791966979509849,0.028673221984152508
Logistic regression,1,4,LocationBack,LocationBack,0.4078699199351374,0.3858187340969285,0.022051185838208864
Logistic regression,1,5,LocationBack,LocationBack,0.4078699199351374,0.39391767600387656,0.013952243931260822
Logistic regression,1,1,LocationFront,LocationFront,0.4078699199351374,0.3958307141997723,0.0120392057353651
Logistic regression,1,2,LocationFront,LocationFront,0.4078699199351374,0.40911957830912443,-0.0012496583739870504
Logistic regression,1,3,LocationFront,LocationFront,0.4078699199351374,0.3932275559356581,0.014642363999479269
Logistic regression,1,4,LocationFront,LocationFront,0.4078699199351374,0.3922774369835203,0.015592482951617082
Logistic regression,1,5,LocationFront,LocationFront,0.4078699199351374,0.40940505730611304,-0.0015351373709756588
Logistic regression,1,1,LocationLeft,LocationLeft,0.4078699199351374,0.3826062683348743,0.02526365160026306
Logistic regression,1,2,LocationLeft,LocationLeft,0.4078699199351374,0.3916626976792914,0.016207222255845977
Logistic regression,1,3,LocationLeft,LocationLeft,0.4078699199351374,0.3812130179486184,0.026656901986518988
Logistic regression,1,4,LocationLeft,LocationLeft,0.4078699199351374,0.39010717779657605,0.017762742138561327
Logistic regression,1,5,LocationLeft,LocationLeft,0.4078699199351374,0.38944537783751493,0.018424542097622454
Logistic regression,1,1,LocationRight,LocationRight,0.4078699199351374,0.39064512333600376,0.01722479659913362
Logistic regression,1,2,LocationRight,LocationRight,0.4078699199351374,0.39747761519109437,0.010392304744043013
Logistic regression,1,3,LocationRight,LocationRight,0.4078699199351374,0.39814216643983497,0.009727753495302416
Logistic regression,1,4,LocationRight,LocationRight,0.4078699199351374,0.4004558769497894,0.0074140429853479795
Logistic regression,1,5,LocationRight,LocationRight,0.4078699199351374,0.40145141262417305,0.006418507310964328
Logistic regression,1,1,LocationMiddle,LocationMiddle,0.4078699199351374,0.395853463306768,0.012016456628369365
Logistic regression,1,2,LocationMiddle,LocationMiddle,0.4078699199351374,0.395200460081569,0.012669459853568377
Logistic regression,1,3,LocationMiddle,LocationMiddle,0.4078699199351374,0.403509905286154,0.00436001464898339
Logistic regression,1,4,LocationMiddle,LocationMiddle,0.4078699199351374,0.3956073592790148,0.012262560656122579
Logistic regression,1,5,LocationMiddle,LocationMiddle,0.4078699199351374,0.3909714207367663,0.01689849919837111
Logistic regression,1,1,Ttrend,Ttrend,0.4078699199351374,0.40812683225413154,-0.00025691231899416245
Logistic regression,1,2,Ttrend,Ttrend,0.4078699199351374,0.4044489700205863,0.003420949914551108
Logistic regression,1,3,Ttrend,Ttrend,0.4078699199351374,0.4091931471973594,-0.0013232272622220043
