feature,importance,importance_percent,permutation_macro_f1_drop_mean,permutation_macro_f1_drop_std
Vote weekday,0.10867181177236852,10.867181177236853,0.020296600945537778,0.009339797472575365
Age,0.08154523971369647,8.154523971369647,0.04511819814630509,0.011871365056812768
RH,0.0673246338518594,6.73246338518594,0.010765688859819954,0.005986638501776385
Lighting,0.06633887022224068,6.633887022224068,0.012266163885038534,0.006951427309964384
CLO,0.06516631124975808,6.516631124975808,0.029930619044225525,0.011341986638431098
Temperature,0.06379160289781279,6.379160289781279,0.014626310769104629,0.012392979883833028
Gender,0.06192544042310636,6.192544042310636,0.059410434222190917,0.017803198609542034
EA,0.05222985566984436,5.222985566984436,0.0020599808732241166,0.007114908901738714
CO2,0.049112532533232424,4.911253253323243,-0.0033689217286461837,0.005801888065643629
Sound,0.04571971274285813,4.571971274285813,-0.0030104370551311856,0.00430818506211382
Vote hour,0.044371716790174605,4.43717167901746,-0.004910342549258564,0.008283660944945535
LocationMiddle,0.03931589919548751,3.931589919548751,0.02901706922741279,0.011856713314424741
LocationRight,0.03640356455708546,3.640356455708546,0.02961724928147563,0.0058755426876164665
AC on/off,0.036256548695926524,3.6256548695926525,0.030832060436206364,0.011295989304010963
LocationLeft,0.03593650818866807,3.5936508188668075,0.031845846900729904,0.009196492169096201
Moment,0.03498386234906686,3.498386234906686,0.0019522004602292586,0.005950399406028931
LocationFront,0.030238062506099526,3.023806250609953,0.06896672531006356,0.01063540830064559
LocationBack,0.02851367312244299,2.851367312244299,0.037399651532365887,0.008845474245840779
Ttrend,0.02812438835776125,2.812438835776125,-0.0010727009556602907,0.002679644507532857
Student,0.024029765160509996,2.4029765160509995,0.010386433594434728,0.004921839591390304
