domain,features,importance_mean,importance_std,baseline_macro_f1_mean,permuted_macro_f1_mean
LocationFront,LocationFront,0.06896672531006356,0.01063540830064559,0.5910904944918102,0.5221237691817467
Gender,Gender,0.059410434222190917,0.017803198609542034,0.5910904944918102,0.5316800602696193
Age,Age,0.04511819814630509,0.011871365056812768,0.5910904944918102,0.5459722963455051
LocationBack,LocationBack,0.037399651532365887,0.008845474245840779,0.5910904944918102,0.5536908429594444
LocationLeft,LocationLeft,0.031845846900729904,0.009196492169096201,0.5910904944918102,0.5592446475910804
AC on/off,AC on/off,0.030832060436206364,0.011295989304010963,0.5910904944918102,0.5602584340556038
CLO,CLO,0.029930619044225525,0.011341986638431098,0.5910904944918102,0.5611598754475847
LocationRight,LocationRight,0.02961724928147563,0.0058755426876164665,0.5910904944918102,0.5614732452103346
LocationMiddle,LocationMiddle,0.02901706922741279,0.011856713314424741,0.5910904944918102,0.5620734252643974
Vote weekday,Vote weekday,0.020296600945537778,0.009339797472575365,0.5910904944918102,0.5707938935462724
Temperature,Temperature,0.014626310769104629,0.012392979883833028,0.5910904944918102,0.5764641837227056
Lighting,Lighting,0.012266163885038534,0.006951427309964384,0.5910904944918102,0.5788243306067717
RH,RH,0.010765688859819954,0.005986638501776385,0.5910904944918102,0.5803248056319903
Student,Student,0.010386433594434728,0.004921839591390304,0.5910904944918102,0.5807040608973755
EA,EA,0.0020599808732241166,0.007114908901738714,0.5910904944918102,0.5890305136185862
Moment,Moment,0.0019522004602292586,0.005950399406028931,0.5910904944918102,0.589138294031581
Ttrend,Ttrend,-0.0010727009556602907,0.002679644507532857,0.5910904944918102,0.5921631954474705
Sound,Sound,-0.0030104370551311856,0.00430818506211382,0.5910904944918102,0.5941009315469414
CO2,CO2,-0.0033689217286461837,0.005801888065643629,0.5910904944918102,0.5944594162204564
Vote hour,Vote hour,-0.004910342549258564,0.008283660944945535,0.5910904944918102,0.5960008370410688
