feature,shap_mean_abs,shap_importance_percent
LocationFront,0.0368251210419376,9.448635487737073
Vote weekday,0.03573459969363155,9.168828160016277
AC on/off,0.03135226447114103,8.044403122682974
Gender,0.030550246549479403,7.8386203640117085
Age,0.029960376140995185,7.687270678876317
CLO,0.023232542133942664,5.9610346379344135
Temperature,0.023091221660766537,5.924774454662372
LocationLeft,0.02162312555048309,5.548088523576481
LocationBack,0.020247500665870534,5.195128974909631
LocationMiddle,0.019725565607829378,5.06121022672451
Lighting,0.017353646147342465,4.452620173133431
RH,0.017329080030977807,4.446316968356055
LocationRight,0.01686228916194904,4.326547184967319
Student,0.01327190907698265,3.4053229846002937
Moment,0.012592410970669314,3.230976512966144
EA,0.010868764250783798,2.788721087728444
CO2,0.008785223164890511,2.254123517175728
Sound,0.007713506391849237,1.9791410908307137
Vote hour,0.007644662774733421,1.9614771096846937
Ttrend,0.004976040739608765,1.2767587394254214
