feature,permutation_macro_f1_drop_mean,permutation_macro_f1_drop_std,builtin_importance,builtin_importance_percent,shap_mean_abs,shap_importance_percent,permutation_normalized,builtin_normalized,shap_normalized,mean_normalized_importance,shap_sample_rows,shap_sample_note
Vote weekday,0.020296600945537778,0.009339797472575365,0.10867181177236852,10.867181177236853,0.03573459969363155,9.168828160016277,0.29429555853619915,1.0,0.9703864829917562,0.7548940138426518,1000,stratified deterministic sample from full dataset
Age,0.04511819814630509,0.011871365056812768,0.08154523971369647,8.154523971369647,0.029960376140995185,7.687270678876317,0.6542024134604153,0.7503807876554663,0.8135852725881164,0.739389491234666,1000,stratified deterministic sample from full dataset
RH,0.010765688859819954,0.005986638501776385,0.0673246338518594,6.73246338518594,0.017329080030977807,4.446316968356055,0.15609975406863394,0.6195225123593432,0.4705776801451082,0.4153999821910284,1000,stratified deterministic sample from full dataset
Lighting,0.012266163885038534,0.006951427309964384,0.06633887022224068,6.633887022224068,0.017353646147342465,4.452620173133431,0.17785626082566322,0.610451497405773,0.47124478226642047,0.4198508468326189,1000,stratified deterministic sample from full dataset
CLO,0.029930619044225525,0.011341986638431098,0.06516631124975808,6.516631124975808,0.023232542133942664,5.9610346379344135,0.43398637400372664,0.5996615882898864,0.6308884119480481,0.5548454580805537,1000,stratified deterministic sample from full dataset
Temperature,0.014626310769104629,0.012392979883833028,0.06379160289781279,6.379160289781279,0.023091221660766537,5.924774454662372,0.21207779118621384,0.5870114968860102,0.6270508013936881,0.47538002982197075,1000,stratified deterministic sample from full dataset
Gender,0.059410434222190917,0.017803198609542034,0.06192544042310636,6.192544042310636,0.030550246549479403,7.8386203640117085,0.8614362064472532,0.5698390356536952,0.829603425191402,0.7536262224307834,1000,stratified deterministic sample from full dataset
EA,0.0020599808732241166,0.007114908901738714,0.05222985566984436,5.222985566984436,0.010868764250783798,2.788721087728444,0.02986919944310486,0.48062008738060447,0.2951453774831075,0.2685448881022723,1000,stratified deterministic sample from full dataset
CO2,-0.0033689217286461837,0.005801888065643629,0.049112532533232424,4.911253253323243,0.008785223164890511,2.254123517175728,0.0,0.45193442284837326,0.23856603634474477,0.23016681973103936,1000,stratified deterministic sample from full dataset
Sound,-0.0030104370551311856,0.00430818506211382,0.04571971274285813,4.571971274285813,0.007713506391849237,1.9791410908307137,0.0,0.42071363306821274,0.2094631646441801,0.21005893257079764,1000,stratified deterministic sample from full dataset
Vote hour,-0.004910342549258564,0.008283660944945535,0.044371716790174605,4.43717167901746,0.007644662774733421,1.9614771096846937,0.0,0.40830934965102694,0.20759369035141634,0.20530101333414774,1000,stratified deterministic sample from full dataset
LocationMiddle,0.02901706922741279,0.011856713314424741,0.03931589919548751,3.931589919548751,0.019725565607829378,5.06121022672451,0.42074013369427943,0.3617856236522614,0.5356551465334027,0.4393936346266479,1000,stratified deterministic sample from full dataset
LocationRight,0.02961724928147563,0.0058755426876164665,0.03640356455708546,3.640356455708546,0.01686228916194904,4.326547184967319,0.4294425920372633,0.334986267030671,0.45790179868643843,0.40744355258479087,1000,stratified deterministic sample from full dataset
AC on/off,0.030832060436206364,0.011295989304010963,0.036256548695926524,3.6256548695926525,0.03135226447114103,8.044403122682974,0.4470570452285543,0.3336334243867397,0.8513825232355947,0.5440243309502962,1000,stratified deterministic sample from full dataset
LocationLeft,0.031845846900729904,0.009196492169096201,0.03593650818866807,3.5936508188668075,0.02162312555048309,5.548088523576481,0.4617566914705023,0.33068840578404235,0.5871840998392917,0.4598763990312788,1000,stratified deterministic sample from full dataset
Moment,0.0019522004602292586,0.005950399406028931,0.03498386234906686,3.498386234906686,0.012592410970669314,3.230976512966144,0.028306410830041182,0.32192214134007885,0.34195165187179377,0.23072673468063795,1000,stratified deterministic sample from full dataset
LocationFront,0.06896672531006356,0.01063540830064559,0.030238062506099526,3.023806250609953,0.0368251210419376,9.448635487737073,1.0,0.2782512043641847,1.0,0.7594170681213949,1000,stratified deterministic sample from full dataset
LocationBack,0.037399651532365887,0.008845474245840779,0.02851367312244299,2.851367312244299,0.020247500665870534,5.195128974909631,0.5422854480073243,0.26238334170934496,0.5498284891667307,0.4514990929611333,1000,stratified deterministic sample from full dataset
Ttrend,-0.0010727009556602907,0.002679644507532857,0.02812438835776125,2.812438835776125,0.004976040739608765,1.2767587394254214,0.0,0.2588011361830659,0.13512625617555726,0.13130913078620773,1000,stratified deterministic sample from full dataset
Student,0.010386433594434728,0.004921839591390304,0.024029765160509996,2.4029765160509995,0.01327190907698265,3.4053229846002937,0.15060064904834836,0.22112233861384772,0.3604036782898333,0.2440422219840098,1000,stratified deterministic sample from full dataset
