model,fold,train_rows,test_rows,macro_f1,accuracy,balanced_accuracy,weighted_f1,ordinal_mae
Logistic regression,1,5467,1367,0.4061541162988429,0.48719824433065106,0.4716624125143696,0.524261344032028,0.6671543525969276
Logistic regression,2,5467,1367,0.38583240677008873,0.4681784930504755,0.44300002084343504,0.5100363599335965,0.6773957571324067
Logistic regression,3,5467,1367,0.41623811698208324,0.4959765910753475,0.4894297562794557,0.5349477088126876,0.6649597659107535
Logistic regression,4,5467,1367,0.40678686477460363,0.48866130212143377,0.47335885999866534,0.5244700346580189,0.6634967081199707
Logistic regression,5,5468,1366,0.3973325505741168,0.4773060029282577,0.46093141242757163,0.5140840052614317,0.6705710102489019
Random Forest,1,5467,1367,0.6068550897972108,0.717629846378932,0.6154967549512355,0.7130696557305595,0.324067300658376
Random Forest,2,5467,1367,0.5841570399241172,0.7168983174835406,0.5892187471521227,0.7150900496030587,0.3196781272860278
Random Forest,3,5467,1367,0.609346984411944,0.7264081931236284,0.6150712315376029,0.7236248947485148,0.31602048280907097
Random Forest,4,5467,1367,0.5875472384161157,0.7066569129480614,0.588576011036161,0.7030007882941717,0.34162399414776884
Random Forest,5,5468,1366,0.5607434908228911,0.7159590043923866,0.5530969258545234,0.707461973628799,0.3089311859443631
Extra Trees,1,5467,1367,0.6318724567017867,0.7351865398683248,0.6422365020186759,0.7347375737717807,0.30504754937820044
Extra Trees,2,5467,1367,0.594289332560365,0.7220190197512801,0.5980460088484761,0.7205172091319093,0.31236283833211415
Extra Trees,3,5467,1367,0.603314207611453,0.7293343087051939,0.6019548277738287,0.7272139938058254,0.31236283833211415
Extra Trees,4,5467,1367,0.5960632723593223,0.7168983174835406,0.5955510301020311,0.7149566151683483,0.32772494513533285
Extra Trees,5,5468,1366,0.548956881738648,0.7137628111273792,0.5407636030150301,0.7072392231133502,0.31551976573938506
Gradient boosting,1,5467,1367,0.4921396347405645,0.6861741038771031,0.46737884449457034,0.644056037520207,0.35918068763716166
Gradient boosting,2,5467,1367,0.4919132793726253,0.7015362106803219,0.46976267199195315,0.6614615135268291,0.3357717629846379
Gradient boosting,3,5467,1367,0.520996867602092,0.7059253840526701,0.49301967992211254,0.6695480898485765,0.3372348207754206
Gradient boosting,4,5467,1367,0.5155210906745168,0.6964155084125823,0.4844051799325754,0.6558698480024239,0.34601316752011707
Gradient boosting,5,5468,1366,0.46751901969705695,0.691800878477306,0.45218899214494424,0.6469261208725148,0.3484626647144949
ANN / MLP,1,5467,1367,0.48189857018735727,0.6474030724213606,0.47896160211687694,0.6438491820552991,0.40526700804681787
ANN / MLP,2,5467,1367,0.514935553512022,0.6686174103877103,0.5121034777327976,0.6676494377158441,0.38039502560351135
ANN / MLP,3,5467,1367,0.5049321714393349,0.6525237746891002,0.5053283413358008,0.6531952407800256,0.4023408924652524
ANN / MLP,4,5467,1367,0.4957661904561432,0.6444769568397952,0.4949174525275313,0.6432344906312338,0.41185076810534016
ANN / MLP,5,5468,1366,0.47975677604464034,0.6500732064421669,0.4736032032530238,0.6437109930741174,0.3989751098096633
