model,fold,repeat,domain,features,baseline_macro_f1,permuted_macro_f1,macro_f1_drop
Logistic regression,1,1,Student,Student,0.4061541162988429,0.3926774598560687,0.013476656442774182
Logistic regression,1,2,Student,Student,0.4061541162988429,0.39590431939076237,0.010249796908080533
Logistic regression,1,3,Student,Student,0.4061541162988429,0.3958271581898605,0.010326958108982431
Logistic regression,1,4,Student,Student,0.4061541162988429,0.3993216652994329,0.006832450999409989
Logistic regression,1,5,Student,Student,0.4061541162988429,0.4020989397438883,0.0040551765549546315
Logistic regression,1,1,Temperature,Temperature,0.4061541162988429,0.37871057034685496,0.027443545951987947
Logistic regression,1,2,Temperature,Temperature,0.4061541162988429,0.3862666023171292,0.019887513981713678
Logistic regression,1,3,Temperature,Temperature,0.4061541162988429,0.38842952239210193,0.01772459390674097
Logistic regression,1,4,Temperature,Temperature,0.4061541162988429,0.3763451574281567,0.029808958870686186
Logistic regression,1,5,Temperature,Temperature,0.4061541162988429,0.38408443184428726,0.02206968445455565
Logistic regression,1,1,RH,RH,0.4061541162988429,0.39861202954311087,0.007542086755732036
Logistic regression,1,2,RH,RH,0.4061541162988429,0.40573082634851115,0.0004232899503317511
Logistic regression,1,3,RH,RH,0.4061541162988429,0.4007693173255557,0.005384798973287197
Logistic regression,1,4,RH,RH,0.4061541162988429,0.3995048491204319,0.0066492671784110224
Logistic regression,1,5,RH,RH,0.4061541162988429,0.4035895875954796,0.0025645287033633224
Logistic regression,1,1,CLO,CLO,0.4061541162988429,0.39850805901441916,0.007646057284423746
Logistic regression,1,2,CLO,CLO,0.4061541162988429,0.3900720463134652,0.0160820699853777
Logistic regression,1,3,CLO,CLO,0.4061541162988429,0.40394789693816024,0.0022062193606826597
Logistic regression,1,4,CLO,CLO,0.4061541162988429,0.39214874325175003,0.014005373047092873
Logistic regression,1,5,CLO,CLO,0.4061541162988429,0.39730608043089805,0.008848035867944859
Logistic regression,1,1,CO2,CO2,0.4061541162988429,0.39894675367889226,0.007207362619950641
Logistic regression,1,2,CO2,CO2,0.4061541162988429,0.39469770772446067,0.011456408574382237
Logistic regression,1,3,CO2,CO2,0.4061541162988429,0.39758851018298474,0.00856560611585816
Logistic regression,1,4,CO2,CO2,0.4061541162988429,0.3956136319261134,0.01054048437272953
Logistic regression,1,5,CO2,CO2,0.4061541162988429,0.3999714330890048,0.0061826832098381135
Logistic regression,1,1,Lighting,Lighting,0.4061541162988429,0.4076575797336513,-0.0015034634348083942
Logistic regression,1,2,Lighting,Lighting,0.4061541162988429,0.3951573200150051,0.010996796283837817
Logistic regression,1,3,Lighting,Lighting,0.4061541162988429,0.3998665646954492,0.006287551603393726
Logistic regression,1,4,Lighting,Lighting,0.4061541162988429,0.3945187234308565,0.011635392867986427
Logistic regression,1,5,Lighting,Lighting,0.4061541162988429,0.38852821381247055,0.017625902486372358
Logistic regression,1,1,Sound,Sound,0.4061541162988429,0.39965680128019354,0.006497315018649363
Logistic regression,1,2,Sound,Sound,0.4061541162988429,0.38858672828221835,0.017567388016624552
Logistic regression,1,3,Sound,Sound,0.4061541162988429,0.400039901904083,0.006114214394759898
