model,domain,features,importance_mean,importance_std,baseline_macro_f1_mean,permuted_macro_f1_mean
Logistic regression,AC on/off,AC on/off,0.01946111314503041,0.005041753546292678,0.40246881107994703,0.3830076979349167
Logistic regression,Temperature,Temperature,0.018328156643131987,0.008009846837197439,0.40246881107994703,0.3841406544368151
Logistic regression,LocationLeft,LocationLeft,0.016654511671671122,0.009534831685587112,0.40246881107994703,0.385814299408276
Logistic regression,LocationFront,LocationFront,0.013061396331774097,0.008453352905063619,0.40246881107994703,0.3894074147481729
Logistic regression,Student,Student,0.012254006213867201,0.006877949618865064,0.40246881107994703,0.39021480486607985
Logistic regression,LocationBack,LocationBack,0.01134673722540929,0.010183996177242001,0.40246881107994703,0.3911220738545378
Logistic regression,Vote weekday,Vote weekday,0.010355980608937792,0.008454032507615283,0.40246881107994703,0.39211283047100925
Logistic regression,Sound,Sound,0.008722932483451707,0.007717642684164829,0.40246881107994703,0.39374587859649535
Logistic regression,Moment,Moment,0.00797999130287965,0.008835996586263647,0.40246881107994703,0.3944888197770674
Logistic regression,Gender,Gender,0.007433682302579403,0.00583387666164341,0.40246881107994703,0.3950351287773677
Logistic regression,LocationMiddle,LocationMiddle,0.0067325540804798155,0.00452985830529518,0.40246881107994703,0.39573625699946724
Logistic regression,Vote hour,Vote hour,0.005946936082201231,0.004880161949364696,0.40246881107994703,0.3965218749977458
Logistic regression,EA,EA,0.004698165509616727,0.007623667218464775,0.40246881107994703,0.3977706455703304
Logistic regression,CO2,CO2,0.004397804028250622,0.005029409791171003,0.40246881107994703,0.39807100705169646
Logistic regression,RH,RH,0.003579097134516471,0.004633643553694441,0.40246881107994703,0.3988897139454306
Logistic regression,CLO,CLO,0.002955754138415465,0.006119940350003092,0.40246881107994703,0.3995130569415316
Logistic regression,LocationRight,LocationRight,0.0028498883478412095,0.006648704973710917,0.40246881107994703,0.39961892273210586
Logistic regression,Age,Age,0.0026481893595424032,0.004047608851369296,0.40246881107994703,0.39982062172040467
Logistic regression,Lighting,Lighting,0.0010151082387479704,0.005963150417695617,0.40246881107994703,0.4014537028411991
Logistic regression,Ttrend,Ttrend,0.00010385550205158412,0.002937513273388556,0.40246881107994703,0.4023649555778955
Random Forest,LocationFront,LocationFront,0.05451697068678282,0.007941065252006227,0.5897299686744557,0.535212997987673
Random Forest,Gender,Gender,0.04842100710388182,0.01242653880690235,0.5897299686744557,0.541308961570574
Random Forest,Age,Age,0.04822035990112297,0.013938191441689802,0.5897299686744557,0.5415096087733328
Random Forest,LocationLeft,LocationLeft,0.034461534602257766,0.01148702620495051,0.5897299686744557,0.5552684340721981
Random Forest,LocationBack,LocationBack,0.03384038154814505,0.008955454810487679,0.5897299686744557,0.5558895871263106
Random Forest,CLO,CLO,0.03186522721864063,0.008090264644973866,0.5897299686744557,0.5578647414558151
Random Forest,AC on/off,AC on/off,0.03014467637786555,0.008098186228399687,0.5897299686744557,0.5595852922965903
Random Forest,LocationRight,LocationRight,0.028109817281937732,0.00843918746554356,0.5897299686744557,0.561620151392518
Random Forest,LocationMiddle,LocationMiddle,0.023841742283657142,0.007808443687931902,0.5897299686744557,0.5658882263907986
Random Forest,Temperature,Temperature,0.017609539346765745,0.008630008904446339,0.5897299686744557,0.57212042932769
Random Forest,RH,RH,0.01759861657861321,0.005549797208895608,0.5897299686744557,0.5721313520958425
Random Forest,Lighting,Lighting,0.011949838414290408,0.00777704901710869,0.5897299686744557,0.5777801302601654
Random Forest,Vote weekday,Vote weekday,0.011792555486208757,0.00892914199442845,0.5897299686744557,0.577937413188247
