feature,importance,importance_percent
Vote weekday,0.10867181177236852,10.867181177236853
Age,0.08154523971369647,8.154523971369647
RH,0.0673246338518594,6.73246338518594
Lighting,0.06633887022224068,6.633887022224068
CLO,0.06516631124975808,6.516631124975808
Temperature,0.06379160289781279,6.379160289781279
Gender,0.06192544042310636,6.192544042310636
EA,0.05222985566984436,5.222985566984436
CO2,0.049112532533232424,4.911253253323243
Sound,0.04571971274285813,4.571971274285813
Vote hour,0.044371716790174605,4.43717167901746
LocationMiddle,0.03931589919548751,3.931589919548751
LocationRight,0.03640356455708546,3.640356455708546
AC on/off,0.036256548695926524,3.6256548695926525
LocationLeft,0.03593650818866807,3.5936508188668075
Moment,0.03498386234906686,3.498386234906686
LocationFront,0.030238062506099526,3.023806250609953
LocationBack,0.02851367312244299,2.851367312244299
Ttrend,0.02812438835776125,2.812438835776125
Student,0.024029765160509996,2.4029765160509995
