variant,fold,cv_splits,rows,predictors,class_weight,threshold_tuning,multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,fit_seconds,predict_seconds,total_seconds,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied
final_imputation_class_weight_threshold_10fold,1,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,1.5,1.2,1.0,8.032140499999514,0.07959429998300038,8.111734799982514,0.6259400815973635,0.7353801169590644,0.6279781822638966,0.30409356725146197,0.4489795918367347,0.6216216216216216,0.8133333333333334
final_imputation_class_weight_threshold_10fold,2,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,1.5,1.2,1.0,12.400239400012651,0.21180760001880117,12.612047000031453,0.6969861546337147,0.7660818713450293,0.7033968662540091,0.26169590643274854,0.6326530612244898,0.6486486486486487,0.8288888888888889
final_imputation_class_weight_threshold_10fold,3,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,1.2,1.0,1.0,13.088733000011416,0.1577835999778472,13.246516599989263,0.618407056257382,0.7309941520467836,0.6180241465955753,0.2982456140350877,0.46938775510204084,0.5513513513513514,0.8333333333333334
final_imputation_class_weight_threshold_10fold,4,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,1.2,1.2,1.0,11.121989000006579,0.5571916000044439,11.679180600011023,0.6207929560059017,0.7602339181286549,0.615870564441993,0.27046783625730997,0.32653061224489793,0.6810810810810811,0.84
final_imputation_class_weight_threshold_10fold,5,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,1.2,1.2,1.0,11.52385339999455,0.11406399999395944,11.63791739998851,0.6130196857713406,0.739385065885798,0.5939049141461311,0.28550512445095166,0.3125,0.6451612903225806,0.8240534521158129
final_imputation_class_weight_threshold_10fold,6,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,1.5,1.2,1.0,11.927413199999137,0.1673370999924373,12.094750299991574,0.6238349925540444,0.7437774524158126,0.6270460641329597,0.2884333821376281,0.4375,0.6129032258064516,0.8307349665924276
final_imputation_class_weight_threshold_10fold,7,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,2.0,1.5,1.0,12.086837800015928,0.10403560000122525,12.190873400017153,0.5921115917009786,0.7013177159590044,0.6139145332918233,0.3367496339677892,0.4375,0.6559139784946236,0.7483296213808464
final_imputation_class_weight_threshold_10fold,8,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,1.5,1.2,1.0,9.042231400002493,0.08906630001729354,9.131297700019786,0.6489072848910523,0.7423133235724744,0.6563605104134237,0.2913616398243045,0.5208333333333334,0.6397849462365591,0.8084632516703786
final_imputation_class_weight_threshold_10fold,9,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,1.5,1.0,1.0,6.9943940000084694,0.07067869999445975,7.065072700002929,0.6098671634852925,0.7452415812591509,0.6017379321630704,0.2796486090775988,0.3958333333333333,0.543010752688172,0.8663697104677061
final_imputation_class_weight_threshold_10fold,10,10,6834,31,"{'dissatisfied': 3.0, 'neutral': 2.0, 'satisfied': 1.0}",nested_inner_cv,2.0,1.2,1.0,8.306531300011557,0.06863749999320135,8.375168800004758,0.5640939120939121,0.7042459736456809,0.5781506506506506,0.3294289897510981,0.3958333333333333,0.5297297297297298,0.8088888888888889
