feature,builtin_importance,builtin_importance_percent,index,permutation_macro_f1_drop_mean,permutation_macro_f1_drop_std,shap_mean_abs,shap_importance_percent,permutation_normalized,builtin_normalized,shap_normalized,mean_normalized_importance,shap_sample_rows,shap_sample_note
Vote weekday,0.091829886313598,9.182988631359809,29,0.0936446042442435,0.0054172681545937,0.0270621912459564,7.385016071297865,0.5050196427363718,1.0,0.6800972134566486,0.7283722853976734,1000,stratified deterministic sample from final model dataset
Age,0.0912709628638554,9.127096286385544,1,0.1015920398541048,0.0031546941186915,0.0296476534437517,8.090564255068966,0.5478796785574874,0.9939134907797456,0.745072204588631,0.7622884579752881,1000,stratified deterministic sample from final model dataset
CLO,0.0711372284402707,7.113722844027073,3,0.0774766424060441,0.0054988381427754,0.0200987160322418,5.48474953715123,0.4178268100344845,0.7746631439500847,0.5050988164022567,0.5658629234622753,1000,stratified deterministic sample from final model dataset
RH,0.0632027208998324,6.320272089983248,21,0.040809044905018,0.0023233289029283,0.0132437312957367,3.6140890282704015,0.2200806917245489,0.688258729668856,0.3328268826473906,0.4137221013469318,1000,stratified deterministic sample from final model dataset
Temperature,0.0531538999625595,5.315389996255959,25,0.0380979963094583,0.0022214854563094,0.0123028244519473,3.357324448498327,0.2054601718962038,0.5788300747867595,0.3091810471432484,0.364490431275404,1000,stratified deterministic sample from final model dataset
Lighting,0.0515749378196347,5.157493781963471,9,0.0334665336906878,0.0021273507209987,0.0092749230793484,2.5310387979492988,0.180482976296361,0.5616356492428495,0.2330871614925908,0.3250685956772671,1000,stratified deterministic sample from final model dataset
Gender,0.0490730943673793,4.907309436737931,7,0.1854276474016823,0.0047570115918308,0.0346105602907934,9.444894600777165,1.0,0.534391322230273,0.8697945187073127,0.8013952803125286,1000,stratified deterministic sample from final model dataset
LocationFront,0.0468112318415204,4.681123184152041,13,0.0871767178748034,0.0034925128789796,0.0206156541399814,5.625817058211409,0.4701387257853571,0.5097603157392633,0.5180899361311815,0.4993296592186007,1000,stratified deterministic sample from final model dataset
EA,0.0466514548782961,4.66514548782961,6,0.0246165598523458,0.0008665418932357,0.0074254146181179,2.0263254291739683,0.1327556068217822,0.5080203923914475,0.1866073498869681,0.2757944497000659,1000,stratified deterministic sample from final model dataset
LocationMiddle,0.0415572539874265,4.155725398742657,17,0.0621293432222159,0.0027691151008748,0.01243966933392,3.394668122684169,0.3350597610054789,0.4525460681232796,0.3126200821445034,0.3667419704244206,1000,stratified deterministic sample from final model dataset
CO2,0.040109316807719,4.010931680771901,5,0.0229978839153515,0.0021132638041387,0.0045361364690253,1.2378687453979738,0.1240261861573016,0.4367784652454663,0.1139971905602484,0.2249339473210054,1000,stratified deterministic sample from final model dataset
LocationBack,0.0388113529711455,3.881135297114556,11,0.0535544632771248,0.0023145783987948,0.0168307417055544,4.592950247735546,0.2888159561293067,0.4226440272244834,0.4229716814253335,0.3781438882597079,1000,stratified deterministic sample from final model dataset
Sound,0.0377625801206188,3.776258012061883,22,0.0195337837668609,0.0027867564721895,0.0041962337717261,1.1451125136716696,0.1053445052050192,0.4112232045203675,0.1054551299717854,0.207340946565724,1000,stratified deterministic sample from final model dataset
Vote hour,0.0373376064513971,3.733760645139711,28,0.0204640005271563,0.0010150883587959,0.00462387788871,1.2618125490833898,0.1103611074934591,0.4065953683519719,0.1162022113765595,0.2110528957406635,1000,stratified deterministic sample from final model dataset
LocationRight,0.0370045490089002,3.700454900890021,19,0.0423675706261537,0.003617526718289,0.0133655328874196,3.647327530796383,0.2284857259412619,0.4029684724048342,0.3358878662294369,0.322447354858511,1000,stratified deterministic sample from final model dataset
LocationLeft,0.0368184506396158,3.681845063961589,15,0.0945782433070703,0.0031572794651858,0.026201040981112,7.150016307683795,0.5100547012937632,0.4009419168165066,0.6584557325371884,0.5231507835491528,1000,stratified deterministic sample from final model dataset
Moment,0.028664769244015,2.866476924401504,20,0.0303742019673306,0.00119034696051,0.0080692863013666,2.20203192261455,0.1638062198002901,0.3121507647970418,0.2027884245686618,0.2262484697219978,1000,stratified deterministic sample from final model dataset
AC on/off,0.0264695632394634,2.646956323946342,0,0.0853112121679079,0.001838067885915,0.0228768518600869,6.242876532501258,0.4600781672169021,0.2882456278892707,0.5749158692029559,0.4410798881030429,1000,stratified deterministic sample from final model dataset
Ttrend,0.0168577086240453,1.68577086240453,26,0.0096440862059177,0.0010545607133533,0.0017559553060142,0.4791835974233397,0.0520099690691014,0.183575405576311,0.0441287366466722,0.0932380370973616,1000,stratified deterministic sample from final model dataset
Student,0.0120056482850584,1.2005648285058477,24,0.0240334930296092,0.0012853901940404,0.0104018756844005,2.838573506586178,0.1296111629866433,0.1307379195054137,0.2614084943598307,0.1739191922839626,1000,stratified deterministic sample from final model dataset
