encoded_feature,builtin_importance,feature
numeric__Temperature,0.05315389996255959,Temperature
numeric__RH,0.06320272089983248,RH
numeric__CLO,0.07113722844027073,CLO
numeric__CO2,0.040109316807719016,CO2
numeric__Lighting,0.0515749378196347,Lighting
numeric__Sound,0.03776258012061883,Sound
numeric__Age,0.09127096286385544,Age
numeric__EA,0.046651454878296104,EA
numeric__Ttrend,0.0168577086240453,Ttrend
numeric__Vote hour,0.03733760645139711,Vote hour
numeric__CLO_was_imputed,0.0022959934696348194,CLO_was_imputed
numeric__Lighting_was_imputed,0.013444720421571089,Lighting_was_imputed
numeric__Sound_was_imputed,0.0025377622458542465,Sound_was_imputed
numeric__Age_was_imputed,0.008489694421196447,Age_was_imputed
numeric__Gender_was_imputed,0.009056027380715837,Gender_was_imputed
numeric__LocationBack_was_imputed,0.000601715252510422,LocationBack_was_imputed
numeric__LocationFront_was_imputed,0.0004881902321770067,LocationFront_was_imputed
numeric__LocationLeft_was_imputed,0.00044365029129662085,LocationLeft_was_imputed
numeric__LocationMiddle_was_imputed,0.0004784129474416064,LocationMiddle_was_imputed
numeric__Ttrend_was_imputed,0.021273480047493958,Ttrend_was_imputed
numeric__n_imputed_predictors,0.02278613652375575,n_imputed_predictors
categorical__Student_Student,0.006671975481718307,Student
categorical__Student_Teacher/staff,0.002218585409204903,Student
categorical__Student_Unknown,0.0031150873941352655,Student
categorical__Gender_Female,0.024106986319061354,Gender
categorical__Gender_Male,0.024966108048317958,Gender
categorical__LocationBack_False,0.01908020819769463,LocationBack
categorical__LocationBack_True,0.019731144773450934,LocationBack
categorical__LocationFront_False,0.023494048912803725,LocationFront
categorical__LocationFront_True,0.023317182928716675,LocationFront
categorical__LocationLeft_False,0.01838369646723685,LocationLeft
categorical__LocationLeft_True,0.018434754172379043,LocationLeft
categorical__LocationRight_False,0.018468016226204267,LocationRight
categorical__LocationRight_True,0.018536532782695937,LocationRight
categorical__LocationMiddle_False,0.020758490872759383,LocationMiddle
categorical__LocationMiddle_True,0.020798763114667194,LocationMiddle
categorical__Vote weekday_Friday,0.021388161812762256,Vote weekday
categorical__Vote weekday_Monday,0.024964003321343263,Vote weekday
categorical__Vote weekday_Saturday,4.6578375627708984e-05,Vote weekday
categorical__Vote weekday_Thursday,0.014798344594435449,Vote weekday
categorical__Vote weekday_Tuesday,0.021596637659622442,Vote weekday
categorical__Vote weekday_Wednesday,0.009036160549806938,Vote weekday
categorical__Moment_End,0.014232383205777509,Moment
categorical__Moment_Start,0.014432386038237526,Moment
categorical__AC on/off_False,0.013224748665265228,AC on/off
categorical__AC on/off_True,0.013244814574198193,AC on/off
