encoded_feature,shap_mean_abs,feature
numeric__Temperature,0.011884657408947187,Temperature
numeric__RH,0.013326300940325598,RH
numeric__CLO,0.020257555945321915,CLO
numeric__CO2,0.004694515477541292,CO2
numeric__Lighting,0.009222417416221292,Lighting
numeric__Sound,0.004330276876854593,Sound
numeric__Age,0.02995274120974385,Age
numeric__EA,0.007357880564333783,EA
numeric__Ttrend,0.0017640789598943065,Ttrend
numeric__Vote hour,0.004624341966852739,Vote hour
numeric__CLO_was_imputed,0.00047631355986014535,CLO_was_imputed
numeric__Lighting_was_imputed,0.007152930965704072,Lighting_was_imputed
numeric__Sound_was_imputed,0.0011096298993978156,Sound_was_imputed
numeric__Age_was_imputed,0.0022019635661572707,Age_was_imputed
numeric__Gender_was_imputed,0.0024689797477152695,Gender_was_imputed
numeric__LocationBack_was_imputed,0.00015783396972538418,LocationBack_was_imputed
numeric__LocationFront_was_imputed,0.0001672776136904415,LocationFront_was_imputed
numeric__LocationLeft_was_imputed,0.0001773467225380303,LocationLeft_was_imputed
numeric__LocationMiddle_was_imputed,0.00017679794643366069,LocationMiddle_was_imputed
numeric__Ttrend_was_imputed,0.04046129336948683,Ttrend_was_imputed
numeric__n_imputed_predictors,0.012972808736367731,n_imputed_predictors
categorical__Student_Student,0.007765992796121809,Student
categorical__Student_Teacher/staff,0.0010497581497548765,Student
categorical__Student_Unknown,0.0017342358212612114,Student
categorical__Gender_Female,0.017450889181052247,Gender
categorical__Gender_Male,0.017252121225990152,Gender
categorical__LocationBack_False,0.007847835257005217,LocationBack
categorical__LocationBack_True,0.008888134673400484,LocationBack
categorical__LocationFront_False,0.010857974385772228,LocationFront
categorical__LocationFront_True,0.009690702547364352,LocationFront
categorical__LocationLeft_False,0.013139995904937595,LocationLeft
categorical__LocationLeft_True,0.013096736690241056,LocationLeft
categorical__LocationRight_False,0.006653471308854458,LocationRight
categorical__LocationRight_True,0.00658920839038696,LocationRight
categorical__LocationMiddle_False,0.006103719781661391,LocationMiddle
categorical__LocationMiddle_True,0.006174773061259164,LocationMiddle
categorical__Vote weekday_Friday,0.0044482369438285105,Vote weekday
categorical__Vote weekday_Monday,0.004978958305350708,Vote weekday
categorical__Vote weekday_Saturday,9.307237236887677e-06,Vote weekday
categorical__Vote weekday_Thursday,0.002652690706913111,Vote weekday
categorical__Vote weekday_Tuesday,0.012782804937354206,Vote weekday
categorical__Vote weekday_Wednesday,0.002486336227764128,Vote weekday
categorical__Moment_End,0.0039107383902020785,Moment
categorical__Moment_Start,0.004083397724770105,Moment
categorical__AC on/off_False,0.012132283948455294,AC on/off
categorical__AC on/off_True,0.01074133576829433,AC on/off
