feature,repeat,permutation_macro_f1_drop
Student,1,0.02429631815060107
Student,2,0.026461788680062992
Student,3,0.02408260595355327
Student,4,0.0254183092843433
Student,5,0.02598783144214223
Temperature,1,0.03772005762863595
Temperature,2,0.03878444938111536
Temperature,3,0.039196703445463665
Temperature,4,0.03199597433499979
Temperature,5,0.037616811463209054
RH,1,0.038720322129363494
RH,2,0.04363786549455251
RH,3,0.041291737143785534
RH,4,0.04189704452591425
RH,5,0.04111298840537647
CLO,1,0.08280658486024006
CLO,2,0.07251622262372193
CLO,3,0.0720438839485602
CLO,4,0.08297522702812121
CLO,5,0.07604578848393984
CO2,1,0.02226411595375577
CO2,2,0.02595282337708915
CO2,3,0.020537904256613282
CO2,4,0.02104378095187709
CO2,5,0.023946113766376342
Lighting,1,0.037292962069353175
Lighting,2,0.034195539254727514
Lighting,3,0.032942811350329504
Lighting,4,0.03130904070451157
Lighting,5,0.0357297557668389
Sound,1,0.02299491244527463
Sound,2,0.021602427983821504
Sound,3,0.016428053779763307
Sound,4,0.020986177522879013
Sound,5,0.023448707427740523
Age,1,0.10053729041004544
Age,2,0.10525497489719737
Age,3,0.10240265213372046
Age,4,0.10491258689986371
Age,5,0.09997400580096905
Gender,1,0.19297655020081161
Gender,2,0.18000491930076368
Gender,3,0.18859064365481082
Gender,4,0.18870852557196383
Gender,5,0.18843081647361504
EA,1,0.021849529054338568
EA,2,0.023221720376672472
EA,3,0.023804188513635305
EA,4,0.021820405006426236
EA,5,0.0223687660534454
LocationBack,1,0.05395400290931296
LocationBack,2,0.056425208848677855
LocationBack,3,0.054367316911519525
LocationBack,4,0.05334610856709665
LocationBack,5,0.049937649017985586
LocationFront,1,0.09126562582004338
LocationFront,2,0.09286252769667969
LocationFront,3,0.08622200037728245
LocationFront,4,0.08637970427617303
LocationFront,5,0.089246422612551
LocationLeft,1,0.09177448713753089
LocationLeft,2,0.09695021984087804
LocationLeft,3,0.09528681354511015
LocationLeft,4,0.09463534319294453
LocationLeft,5,0.10013917716392184
LocationRight,1,0.04343144126004028
LocationRight,2,0.043063908458047084
LocationRight,3,0.039701847684738056
LocationRight,4,0.04518311590179658
LocationRight,5,0.0449854544838072
LocationMiddle,1,0.06089918668836314
LocationMiddle,2,0.05661807328539337
LocationMiddle,3,0.05546423355442853
LocationMiddle,4,0.06425740031705085
LocationMiddle,5,0.06310269083827669
Ttrend,1,0.010290631483846457
Ttrend,2,0.010568523246048955
Ttrend,3,0.010226738909667188
Ttrend,4,0.00987282210261542
Ttrend,5,0.011012477978334267
Vote hour,1,0.023657067745234017
Vote hour,2,0.020460743755371102
Vote hour,3,0.019141872652828518
Vote hour,4,0.02130317902590928
Vote hour,5,0.020368222940664982
Vote weekday,1,0.09898278173962105
Vote weekday,2,0.09837171345920548
Vote weekday,3,0.08827502995213898
Vote weekday,4,0.09994846967618332
Vote weekday,5,0.09679410949919343
Moment,1,0.03181889308124408
Moment,2,0.027281815538628962
Moment,3,0.030250981939036414
Moment,4,0.02848982741020356
Moment,5,0.03073301483175439
AC on/off,1,0.08471276974646247
AC on/off,2,0.08775470944254526
AC on/off,3,0.08716245296231184
AC on/off,4,0.08342631843950099
AC on/off,5,0.08413757968216118
CLO_was_imputed,1,-5.611905406710527e-05
CLO_was_imputed,2,0.0004833213850838902
CLO_was_imputed,3,0.00012800993131412142
CLO_was_imputed,4,0.00012800993131412142
CLO_was_imputed,5,1.700918934544049e-05
Lighting_was_imputed,1,0.014036447303382715
Lighting_was_imputed,2,0.014051793399966095
Lighting_was_imputed,3,0.014836995124143049
Lighting_was_imputed,4,0.01319940012456966
Lighting_was_imputed,5,0.012771459349181224
Sound_was_imputed,1,0.0006798434426977806
