encoded_feature,builtin_importance,feature
numeric__Temperature,0.052077705572941856,Temperature
numeric__RH,0.06504001701416952,RH
numeric__CLO,0.06857669937097442,CLO
numeric__CO2,0.04125611350020713,CO2
numeric__Lighting,0.05183578232124591,Lighting
numeric__Sound,0.03941109674646384,Sound
numeric__Age,0.09255596355334567,Age
numeric__EA,0.048897930871333095,EA
numeric__Ttrend,0.01608579247884467,Ttrend
numeric__Vote hour,0.03571994041671419,Vote hour
numeric__CLO_was_imputed,0.002490158510772986,CLO_was_imputed
numeric__Lighting_was_imputed,0.013681019031953014,Lighting_was_imputed
numeric__Sound_was_imputed,0.0019872187786707926,Sound_was_imputed
numeric__Age_was_imputed,0.007757944413828808,Age_was_imputed
numeric__Gender_was_imputed,0.00987080976809077,Gender_was_imputed
numeric__LocationBack_was_imputed,0.0011504625997333616,LocationBack_was_imputed
numeric__LocationFront_was_imputed,0.0003185130841609943,LocationFront_was_imputed
numeric__LocationLeft_was_imputed,0.00029695298115347597,LocationLeft_was_imputed
numeric__LocationMiddle_was_imputed,0.000424415690538502,LocationMiddle_was_imputed
numeric__Ttrend_was_imputed,0.02059675007158571,Ttrend_was_imputed
numeric__n_imputed_predictors,0.024565459152329935,n_imputed_predictors
categorical__Student_Student,0.007332834364641056,Student
categorical__Student_Teacher/staff,0.0010198113287951398,Student
categorical__Student_Unknown,0.0032814059190827863,Student
categorical__Gender_Female,0.025083387227538327,Gender
categorical__Gender_Male,0.024540055576258907,Gender
categorical__LocationBack_False,0.01865734156600719,LocationBack
categorical__LocationBack_True,0.019126430787012472,LocationBack
categorical__LocationFront_False,0.021709085593720236,LocationFront
categorical__LocationFront_True,0.024288780954408333,LocationFront
categorical__LocationLeft_False,0.018549183314470898,LocationLeft
categorical__LocationLeft_True,0.016192275534441063,LocationLeft
categorical__LocationRight_False,0.017932097261505086,LocationRight
categorical__LocationRight_True,0.020796012909630984,LocationRight
categorical__LocationMiddle_False,0.018586334087665617,LocationMiddle
categorical__LocationMiddle_True,0.022344823946041564,LocationMiddle
categorical__Vote weekday_Friday,0.021223759960474053,Vote weekday
categorical__Vote weekday_Monday,0.02378302376509592,Vote weekday
categorical__Vote weekday_Saturday,0.00021732407075426193,Vote weekday
categorical__Vote weekday_Thursday,0.016653999443001426,Vote weekday
categorical__Vote weekday_Tuesday,0.02060564883750023,Vote weekday
categorical__Vote weekday_Wednesday,0.00785823843241966,Vote weekday
categorical__Moment_End,0.015589159444028977,Moment
categorical__Moment_Start,0.014082350373058751,Moment
categorical__AC on/off_False,0.011731486779354865,AC on/off
categorical__AC on/off_True,0.014218402594033732,AC on/off
