encoded_feature,shap_mean_abs,feature
numeric__Temperature,0.013298804384164973,Temperature
numeric__RH,0.013047762068825162,RH
numeric__CLO,0.018918181699328962,CLO
numeric__CO2,0.005420692845720499,CO2
numeric__Lighting,0.009935074322037421,Lighting
numeric__Sound,0.005937948143069087,Sound
numeric__Age,0.027080284655084903,Age
numeric__EA,0.01075964937573255,EA
numeric__Ttrend,0.0022992056580909363,Ttrend
numeric__Vote hour,0.004977644645035033,Vote hour
numeric__CLO_was_imputed,0.0008290913769097194,CLO_was_imputed
numeric__Lighting_was_imputed,0.009048457489734759,Lighting_was_imputed
numeric__Sound_was_imputed,0.0010602577344092923,Sound_was_imputed
numeric__Age_was_imputed,0.0021574820686801194,Age_was_imputed
numeric__Gender_was_imputed,0.0034186343605647398,Gender_was_imputed
numeric__LocationBack_was_imputed,0.0007128325647369786,LocationBack_was_imputed
numeric__LocationFront_was_imputed,0.00014990962915373488,LocationFront_was_imputed
numeric__LocationLeft_was_imputed,0.00025960698940626726,LocationLeft_was_imputed
numeric__LocationMiddle_was_imputed,0.00046635548208183333,LocationMiddle_was_imputed
numeric__Ttrend_was_imputed,0.034873927682197575,Ttrend_was_imputed
numeric__n_imputed_predictors,0.014851047278073294,n_imputed_predictors
categorical__Student_Student,0.007593194811225,Student
categorical__Student_Teacher/staff,0.0006013349497872233,Student
categorical__Student_Unknown,0.0011199481429065605,Student
categorical__Gender_Female,0.016841220215439857,Gender
categorical__Gender_Male,0.01531889508533637,Gender
categorical__LocationBack_False,0.007785834045943819,LocationBack
categorical__LocationBack_True,0.007617492051268805,LocationBack
categorical__LocationFront_False,0.010994239402100868,LocationFront
categorical__LocationFront_True,0.010942982109536243,LocationFront
categorical__LocationLeft_False,0.015353590261418,LocationLeft
categorical__LocationLeft_True,0.01060230537234658,LocationLeft
categorical__LocationRight_False,0.007398201371160347,LocationRight
categorical__LocationRight_True,0.008890233380469115,LocationRight
categorical__LocationMiddle_False,0.005366877631105521,LocationMiddle
categorical__LocationMiddle_True,0.007499626875901302,LocationMiddle
categorical__Vote weekday_Friday,0.005016728967360497,Vote weekday
categorical__Vote weekday_Monday,0.005052259906530754,Vote weekday
categorical__Vote weekday_Saturday,4.103177635177849e-05,Vote weekday
categorical__Vote weekday_Thursday,0.0035924561898667464,Vote weekday
categorical__Vote weekday_Tuesday,0.010408994179525607,Vote weekday
categorical__Vote weekday_Wednesday,0.002384776565629842,Vote weekday
categorical__Moment_End,0.004418534962013961,Moment
categorical__Moment_Start,0.0047376685172904505,Moment
categorical__AC on/off_False,0.010934362015756902,AC on/off
categorical__AC on/off_True,0.012368578182190029,AC on/off
