feature,repeat,permutation_macro_f1_drop
Student,1,0.02810707767366094
Temperature,1,0.05287138779871592
RH,1,0.042126822171364764
CLO,1,0.06969695263533493
CO2,1,0.032844475577960885
Lighting,1,0.03965936480463039
Sound,1,0.023062784688169913
Age,1,0.10993294893776884
Gender,1,0.17254729325943585
EA,1,0.023203944781644892
LocationBack,1,0.04998535181566499
LocationFront,1,0.08975107171902086
LocationLeft,1,0.08882475648900101
LocationRight,1,0.044860424102566965
LocationMiddle,1,0.06594859221457927
Ttrend,1,0.009819248856044238
Vote hour,1,0.02684048622511992
Vote weekday,1,0.09695975272117385
Moment,1,0.0271380375613266
AC on/off,1,0.08919311975697108
CLO_was_imputed,1,0.0029190433564145746
Lighting_was_imputed,1,0.017119102434890676
Sound_was_imputed,1,0.005309472087728029
Age_was_imputed,1,0.0020018236854857374
Gender_was_imputed,1,0.005481666875340685
LocationBack_was_imputed,1,0.000730867545577496
LocationFront_was_imputed,1,0.0
LocationLeft_was_imputed,1,0.0006197949701357564
LocationMiddle_was_imputed,1,-0.00015579434192103392
Ttrend_was_imputed,1,0.15142158402329353
n_imputed_predictors,1,0.027713577210923268
