multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold
1.5,1.5,1.0,0.519678761224711,0.6385718466491074,0.5251300089202487,0.3965466783728417,0.29338842975206614,0.5836030204962244,0.6983985765124555,1
1.2,1.0,1.0,0.5182333393699329,0.672227099795142,0.5088350273895217,0.37050043898156276,0.2892561983471074,0.41963322545846815,0.8176156583629893,1
1.2,1.2,1.0,0.517432692378744,0.659350307287094,0.5091319098521342,0.3778167983611355,0.2603305785123967,0.49838187702265374,0.7686832740213523,1
1.5,1.2,1.0,0.5173983149723331,0.6532045654082529,0.5204402328903307,0.39010828211881765,0.32231404958677684,0.4778856526429342,0.7611209964412812,1
1.5,1.0,1.0,0.5157179334253833,0.665788703541118,0.5188046270314554,0.3839625402399766,0.34297520661157027,0.40560949298813376,0.8078291814946619,1
1.2,1.5,1.0,0.5139558481171155,0.6412057360257536,0.5120036393793904,0.38864501024290316,0.23553719008264462,0.5976267529665588,0.702846975088968,1
1.0,1.2,1.0,0.5098601884190445,0.6619841966637401,0.49596685323921924,0.3707930933567457,0.2066115702479339,0.505933117583603,0.775355871886121,1
1.0,1.0,1.0,0.5086777174506257,0.675153643546971,0.49195824332260213,0.3640620427275388,0.2190082644628099,0.4325782092772384,0.824288256227758,1
2.0,1.5,1.0,0.508517044967253,0.6230611647644132,0.5302142529577017,0.4293239683933275,0.35537190082644626,0.5555555555555556,0.6797153024911032,1
2.0,1.2,1.0,0.5041818200143521,0.636523266022827,0.5241248324644215,0.4234708808896693,0.38016528925619836,0.4519956850053937,0.7402135231316725,1
2.0,1.0,1.0,0.5018261367315439,0.6482294410301433,0.5240800419168246,0.417910447761194,0.4090909090909091,0.3775620280474649,0.7855871886120996,1
1.5,2.0,1.0,0.501550193246552,0.597892888498683,0.5163163245267413,0.4269827333918642,0.25206611570247933,0.7065803667745415,0.5903024911032029,1
1.0,1.5,1.0,0.4953123944035003,0.6426690079016681,0.4919271945181806,0.3822066139888791,0.15702479338842976,0.6105717367853291,0.708185053380783,1
2.5,1.5,1.0,0.49430875560388327,0.6072578285045361,0.5273528280853808,0.45976002341235,0.3925619834710744,0.5253505933117584,0.6641459074733096,1
2.5,1.2,1.0,0.49259605317550886,0.62071992976295,0.5276203631022507,0.45741878841088673,0.4380165289256198,0.4228694714131607,0.7219750889679716,1
2.0,2.0,1.0,0.492267862164029,0.585308750365818,0.5208477129207688,0.4562481709101551,0.30578512396694213,0.6806903991370011,0.576067615658363,1
2.5,1.0,1.0,0.4845471562597555,0.6277436347673397,0.5227448322823087,0.45712613403570385,0.45867768595041325,0.3484358144552319,0.7611209964412812,1
2.5,2.0,1.0,0.4835146157829482,0.5738952297336846,0.5241091818153157,0.48375768217734855,0.35537190082644626,0.651564185544768,0.5653914590747331,1
1.2,2.0,1.0,0.4796717741151051,0.5981855428738659,0.49403371054900863,0.42259291776412056,0.1652892561983471,0.7238403451995685,0.5929715302491103,1
1.0,2.0,1.0,0.47088064743766744,0.5993561603745976,0.4856389979582744,0.41820310213637696,0.1322314049586777,0.7281553398058253,0.5965302491103203,1
1.5,1.2,1.0,0.5666059262375641,0.6833479660520925,0.5648504101961899,0.35645302897278314,0.384297520661157,0.5323275862068966,0.7779261237205163,2
1.2,1.2,1.0,0.5627451362771577,0.6853965466783728,0.5528268531648691,0.3508925958443079,0.3347107438016529,0.540948275862069,0.7828215398308856,2
1.2,1.0,1.0,0.5626148080045329,0.6979806848112379,0.5489408257165999,0.3426982733391864,0.3512396694214876,0.46336206896551724,0.8322207387627948,2
1.5,1.0,1.0,0.5581929177527581,0.691249634182031,0.556271503608941,0.35323383084577115,0.40082644628099173,0.44288793103448276,0.8251001335113485,2
1.0,1.0,1.0,0.5580301697786224,0.6988586479367866,0.536287852682544,0.34035703833772313,0.30578512396694213,0.46551724137931033,0.8375611927013796,2
1.5,1.5,1.0,0.5577754464077734,0.6564237635352649,0.5615035186820556,0.3775241439859526,0.36363636363636365,0.6163793103448276,0.7044948820649756,2
1.0,1.2,1.0,0.5577204220512054,0.6871524729294703,0.5408657996503703,0.3465027802165642,0.28512396694214875,0.5506465517241379,0.7868268802848242,2
2.0,1.2,1.0,0.5557366186936593,0.6719344454199591,0.5757059939412795,0.38162130523851334,0.45867768595041325,0.5043103448275862,0.7641299510458389,2
2.0,1.5,1.0,0.5499689771685223,0.6476441322797776,0.5684283233539086,0.3965466783728417,0.4132231404958678,0.5991379310344828,0.6929238985313751,2
2.0,1.0,1.0,0.5487074381864715,0.6801287679250805,0.5673474977603313,0.3784021071115013,0.4669421487603306,0.42780172413793105,0.8072986203827325,2
1.2,1.5,1.0,0.5477899462728884,0.6578870354111794,0.5440921944351543,0.37284167398302603,0.29338842975206614,0.6303879310344828,0.7085002225189141,2
2.5,1.2,1.0,0.5423173577938573,0.6573017266608135,0.5774166001667612,0.4108867427568042,0.5,0.48814655172413796,0.744103248776146,2
2.5,1.5,1.0,0.5371167130946831,0.6338893766461808,0.5744099459803471,0.4272753877670471,0.47520661157024796,0.5711206896551724,0.6769025367156208,2
2.0,2.0,1.0,0.5308834169740032,0.6063798653789875,0.5562337816644499,0.4272753877670471,0.38016528925619836,0.6939655172413793,0.5945705384957721,2
2.5,1.0,1.0,0.5308685835982195,0.6637401229148375,0.5660955659655599,0.4138132865086333,0.5041322314049587,0.4073275862068966,0.7868268802848242,2
1.0,1.5,1.0,0.5306630284138169,0.6575943810359964,0.5249473966935807,0.3707930933567457,0.2231404958677686,0.6400862068965517,0.7116154873164219,2
1.5,2.0,1.0,0.5267604658503121,0.6119402985074627,0.5380555048773855,0.41205736025753587,0.2975206611570248,0.7122844827586207,0.6043613707165109,2
2.5,2.0,1.0,0.5234913499971047,0.597892888498683,0.5614813516065603,0.44717588527948493,0.4214876033057851,0.6799568965517241,0.5829995549621718,2
1.2,2.0,1.0,0.5073829706167502,0.6113549897570969,0.5167259310610319,0.4097161252560726,0.2190082644628099,0.7241379310344828,0.6070315976858033,2
