variant,class,bin,mean_predicted_probability,observed_fraction
main_all_school_extra_trees,dissatisfied,1,0.035096426761102514,0.023853211009174313
main_all_school_extra_trees,dissatisfied,2,0.14297097007730397,0.05080213903743316
main_all_school_extra_trees,dissatisfied,3,0.24297985254419482,0.11143695014662756
main_all_school_extra_trees,dissatisfied,4,0.3433570048701361,0.16459627329192547
main_all_school_extra_trees,dissatisfied,5,0.4460758550162405,0.2474747474747475
main_all_school_extra_trees,dissatisfied,6,0.5410042610381525,0.3007518796992481
main_all_school_extra_trees,dissatisfied,7,0.6454154292925002,0.43478260869565216
main_all_school_extra_trees,dissatisfied,8,0.7467670903580694,0.5666666666666667
main_all_school_extra_trees,dissatisfied,9,0.8440488685552813,0.6944444444444444
main_all_school_extra_trees,satisfied,1,0.05988236589769615,0.15151515151515152
main_all_school_extra_trees,satisfied,2,0.15377336447560697,0.21779859484777517
main_all_school_extra_trees,satisfied,3,0.25256733585333846,0.3205828779599271
main_all_school_extra_trees,satisfied,4,0.3510166645747825,0.45108695652173914
main_all_school_extra_trees,satisfied,5,0.45047525994645915,0.5690021231422505
main_all_school_extra_trees,satisfied,6,0.5498819438832027,0.7129277566539924
main_all_school_extra_trees,satisfied,7,0.6473561232535393,0.8156723063223509
main_all_school_extra_trees,satisfied,8,0.7467250460009663,0.8796095444685467
main_all_school_extra_trees,satisfied,9,0.845292493221553,0.9341894060995185
main_all_school_extra_trees,satisfied,10,0.9403105704055219,0.9288135593220339
calibrated_sigmoid_extra_trees,dissatisfied,1,0.06904974328361672,0.06028262176788936
calibrated_sigmoid_extra_trees,dissatisfied,2,0.11185327787302889,0.45604395604395603
calibrated_sigmoid_extra_trees,satisfied,1,0.5949916376731218,0.7551020408163265
calibrated_sigmoid_extra_trees,satisfied,2,0.6572502817135712,0.6832688588007737
calibrated_sigmoid_extra_trees,satisfied,3,0.716680520161958,0.3771626297577855
calibrated_sigmoid_extra_trees,satisfied,4,0.8076317145297701,0.3333333333333333
calibrated_isotonic_extra_trees,dissatisfied,1,0.06305652289746909,0.052739294710327456
calibrated_isotonic_extra_trees,dissatisfied,2,0.13338666661011297,0.22945205479452055
calibrated_isotonic_extra_trees,dissatisfied,3,0.25433198532025514,0.45045045045045046
calibrated_isotonic_extra_trees,dissatisfied,4,0.35045717282196576,0.3582089552238806
calibrated_isotonic_extra_trees,dissatisfied,5,0.4350305062986579,0.6666666666666666
calibrated_isotonic_extra_trees,satisfied,1,0.0,0.0
calibrated_isotonic_extra_trees,satisfied,2,0.14844649276576066,0.0
calibrated_isotonic_extra_trees,satisfied,3,0.25174304086837873,0.0
calibrated_isotonic_extra_trees,satisfied,4,0.33218275676000386,0.24535315985130113
calibrated_isotonic_extra_trees,satisfied,5,0.47192372451619724,0.2961165048543689
calibrated_isotonic_extra_trees,satisfied,6,0.5661575591959583,0.327217125382263
calibrated_isotonic_extra_trees,satisfied,7,0.6630848716571878,0.6965277777777777
calibrated_isotonic_extra_trees,satisfied,8,0.7229551162103695,0.9576271186440678
calibrated_isotonic_extra_trees,satisfied,9,0.8108426671648469,0.9583333333333334
