experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,class_weight,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied
class_weight_search,class_weight_balanced,1,2,Extra Trees,6834,3417,20,0.21125299998675473,0.02576369998860173,0.23701669997535646,Baseline Extra Trees balanced class weights.,balanced,0.5563607861488266,0.6947614866842259,0.5566531170995691,0.35001463271875916,0.3677685950413223,0.4859913793103448,0.8161993769470405
class_weight_search,class_weight_balanced,2,2,Extra Trees,6834,3417,20,0.17452470000716858,0.022177599981660023,0.1967022999888286,Baseline Extra Trees balanced class weights.,balanced,0.5589280965790137,0.6988586479367866,0.5551906147799173,0.3435762364647352,0.3677685950413223,0.46817691477885653,0.8296263345195729
class_weight_search,class_weight_equal_1_1_1,1,2,Extra Trees,6834,3417,20,0.22351219999836758,0.03238230000715703,0.2558945000055246,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.","{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.5179016141614938,0.7181738366988587,0.4917062439923381,0.32338308457711445,0.18181818181818182,0.3760775862068966,0.9172229639519359
class_weight_search,class_weight_equal_1_1_1,2,2,Extra Trees,6834,3417,20,0.25324419999378733,0.02682279999135062,0.28006699998513795,"Manual equal class weights: {0: 1, 1: 1, 2: 1}.","{'dissatisfied': 1, 'neutral': 1, 'satisfied': 1}",0.5536240776580729,0.729880011706175,0.5193770978730758,0.30816505706760317,0.25206611570247933,0.3807982740021575,0.9252669039145908
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,1,2,Extra Trees,6834,3417,20,0.22107020000112243,0.018712199991568923,0.23978239999269135,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.","{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.5319988084892184,0.7105648229441031,0.5110680344023076,0.3330406789581504,0.22727272727272727,0.42564655172413796,0.8802848242100578
class_weight_search,class_weight_dissatisfied_2_neutral_1_5,2,2,Extra Trees,6834,3417,20,0.21106160001363605,0.027574599982472137,0.2386361999961082,"Manual class weights: {0: 2, 1: 1.5, 2: 1}.","{'dissatisfied': 2, 'neutral': 1.5, 'satisfied': 1}",0.5661046597560112,0.7246122329528827,0.5363562794084541,0.31050629206906644,0.2975206611570248,0.4120819848975189,0.8994661921708185
class_weight_search,class_weight_dissatisfied_3_neutral_2,1,2,Extra Trees,6834,3417,20,0.21127669999259524,0.019090999994659796,0.23036769998725504,"Manual class weights: {0: 3, 1: 2, 2: 1}.","{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.5566947853686205,0.7120280948200176,0.5404746027539585,0.3242610477026632,0.2768595041322314,0.49676724137931033,0.8477970627503337
class_weight_search,class_weight_dissatisfied_3_neutral_2,2,2,Extra Trees,6834,3417,20,0.22770660000969656,0.0316840999876149,0.25939069999731146,"Manual class weights: {0: 3, 1: 2, 2: 1}.","{'dissatisfied': 3, 'neutral': 2, 'satisfied': 1}",0.5732560368799909,0.7251975417032485,0.5501375398449743,0.3099209833187006,0.30165289256198347,0.4746494066882416,0.8741103202846975
class_weight_search,class_weight_dissatisfied_4_neutral_2,1,2,Extra Trees,6834,3417,20,0.2440321999893058,0.022132999991299585,0.2661651999806054,"Manual class weights: {0: 4, 1: 2, 2: 1}.","{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.5516083302061949,0.7026631548141645,0.5396562639232856,0.3412350014632719,0.30991735537190085,0.4665948275862069,0.842456608811749
class_weight_search,class_weight_dissatisfied_4_neutral_2,2,2,Extra Trees,6834,3417,20,0.20199259999208152,0.026448399992659688,0.2284409999847412,"Manual class weights: {0: 4, 1: 2, 2: 1}.","{'dissatisfied': 4, 'neutral': 2, 'satisfied': 1}",0.5622913567602628,0.713491366695932,0.5472003179232593,0.3242610477026632,0.34297520661157027,0.42718446601941745,0.87144128113879
class_weight_search,class_weight_dissatisfied_5_neutral_2,1,2,Extra Trees,6834,3417,20,0.22907249999116175,0.016922100010560825,0.24599460000172257,"Manual class weights: {0: 5, 1: 2, 2: 1}.","{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.5641750175773984,0.707638279192274,0.5554509730398899,0.3330406789581504,0.359504132231405,0.45905172413793105,0.8477970627503337
class_weight_search,class_weight_dissatisfied_5_neutral_2,2,2,Extra Trees,6834,3417,20,0.23511730000609532,0.04495340000721626,0.2800707000133116,"Manual class weights: {0: 5, 1: 2, 2: 1}.","{'dissatisfied': 5, 'neutral': 2, 'satisfied': 1}",0.5696492514992157,0.7143693298214808,0.5565764355387691,0.32338308457711445,0.359504132231405,0.447680690399137,0.8625444839857651
class_weight_search,class_weight_stronger_dissatisfied,1,2,Extra Trees,6834,3417,20,0.1831137000117451,0.0207663000037428,0.2038800000154879,Stronger dissatisfied weight only.,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.5337707117071284,0.710857477319286,0.5241235421861575,0.3374304945858941,0.34297520661157027,0.31573275862068967,0.9136626613262128
class_weight_search,class_weight_stronger_dissatisfied,2,2,Extra Trees,6834,3417,20,0.19336889998521656,0.021152100001927465,0.21452099998714402,Stronger dissatisfied weight only.,"{'dissatisfied': 4, 'neutral': 1, 'satisfied': 1}",0.5497235753683801,0.7211003804506877,0.5388357618159612,0.32455370207784606,0.384297520661157,0.30204962243797195,0.9301601423487544
class_weight_search,class_weight_stronger_neutral,1,2,Extra Trees,6834,3417,20,0.19720239998423494,0.020043700002133846,0.2172460999863688,Stronger neutral weight only.,"{'dissatisfied': 1, 'neutral': 2.5, 'satisfied': 1}",0.5206096176093428,0.713491366695932,0.5080062459074339,0.31431079894644426,0.11983471074380166,0.5657327586206896,0.8384512683578104
class_weight_search,class_weight_stronger_neutral,2,2,Extra Trees,6834,3417,20,0.22848409999278374,0.030375100002856925,0.25885919999564067,Stronger neutral weight only.,"{'dissatisfied': 1, 'neutral': 2.5, 'satisfied': 1}",0.541170444363349,0.7143693298214808,0.515979393376346,0.3163593795727246,0.18181818181818182,0.5102481121898598,0.8558718861209964
class_weight_search,class_weight_stronger_dissatisfied_neutral,1,2,Extra Trees,6834,3417,20,0.21569159999489784,0.02092179999453947,0.2366133999894373,Stronger dissatisfied and neutral weights.,"{'dissatisfied': 4, 'neutral': 2.5, 'satisfied': 1}",0.5587615161094036,0.6988586479367866,0.5480593901861442,0.3383084577114428,0.30991735537190085,0.5193965517241379,0.8148642634623943
class_weight_search,class_weight_stronger_dissatisfied_neutral,2,2,Extra Trees,6834,3417,20,0.16748160001588985,0.01812299998709932,0.18560460000298917,Stronger dissatisfied and neutral weights.,"{'dissatisfied': 4, 'neutral': 2.5, 'satisfied': 1}",0.5641844173725832,0.7047117354404449,0.5475940191957254,0.3289435177055897,0.32231404958677684,0.48327939590075514,0.8371886120996441
