target_variant,class,precision,recall,f1,support
three_class,dissatisfied,0.43859649122807015,0.4581151832460733,0.44814340588988477,382
three_class,neutral,0.603967168262654,0.5778795811518325,0.5906354515050167,1528
three_class,satisfied,0.8206569991121634,0.8327327327327327,0.8266507676255775,3330
five_class,1,0.2518518518518518,0.41975308641975306,0.3148148148148148,81
five_class,2,0.3465045592705167,0.3787375415282392,0.3619047619047619,301
five_class,3,0.6082548877624909,0.5497382198952879,0.5775180474389825,1528
five_class,4,0.6380327868852459,0.5634047481181239,0.5984009840098401,1727
five_class,5,0.6454545454545455,0.7529631940112289,0.6950763029081486,1603
five_class_collapsed_to_three,dissatisfied,0.39439655172413796,0.4790575916230366,0.4326241134751773,382
five_class_collapsed_to_three,neutral,0.6082548877624909,0.5497382198952879,0.5775180474389825,1528
five_class_collapsed_to_three,satisfied,0.8223858615611193,0.8384384384384385,0.8303345724907063,3330
