multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
1.5,1.2,1.0,0.5719600876618047,0.7075178342783977,0.5641385160657464,0.3272361441375526,0.3359173126614987,0.5397574123989218,0.8167408231368187,1,class_weight_dissatisfied_3_neutral_2
1.2,1.2,1.0,0.5710435415668428,0.711541979147613,0.5558814682499719,0.3190049387232486,0.29198966408268734,0.5539083557951483,0.8217463848720801,1,class_weight_dissatisfied_3_neutral_2
1.2,1.0,1.0,0.5696790173077646,0.7205048472654106,0.5519062900516672,0.31241997439180536,0.3152454780361757,0.4750673854447439,0.8654060066740823,1,class_weight_dissatisfied_3_neutral_2
1.5,1.5,1.0,0.569128190488999,0.6919700018291568,0.5661645922628947,0.3354673495518566,0.3049095607235142,0.637466307277628,0.7561179087875417,1,class_weight_dissatisfied_3_neutral_2
2.0,1.5,1.0,0.5678081289542104,0.6853850374977135,0.5763935568529284,0.349917687945857,0.3669250645994832,0.612533692722372,0.7497219132369299,1,class_weight_dissatisfied_3_neutral_2
2.0,1.2,1.0,0.5668186203428506,0.697274556429486,0.5768156998818438,0.34735686848362907,0.4186046511627907,0.5053908355795148,0.8064516129032258,1,class_weight_dissatisfied_3_neutral_2
1.5,1.0,1.0,0.5667576133805602,0.7148344613133345,0.5610843753837944,0.32449240899945125,0.3695090439276486,0.45417789757412397,0.8595661846496107,1,class_weight_dissatisfied_3_neutral_2
1.0,1.2,1.0,0.566358620397142,0.7131882202304738,0.5483295026749531,0.31699286628864093,0.2558139534883721,0.5660377358490566,0.8231368186874305,1,class_weight_dissatisfied_3_neutral_2
1.0,1.0,1.0,0.5651223215777476,0.7217852569965246,0.5432683798847803,0.31022498628132433,0.27648578811369506,0.4865229110512129,0.8667964404894327,1,class_weight_dissatisfied_3_neutral_2
1.2,1.5,1.0,0.5639147287860624,0.695079568319005,0.5564344950444322,0.3299798792756539,0.2558139534883721,0.6543126684636119,0.7591768631813126,1,class_weight_dissatisfied_3_neutral_2
2.0,1.0,1.0,0.5624611859047239,0.7049570148161698,0.5747613902577172,0.34351563929028717,0.4496124031007752,0.4278975741239892,0.8467741935483871,1,class_weight_dissatisfied_3_neutral_2
2.5,1.5,1.0,0.5606768538949026,0.6753246753246753,0.5857160496659262,0.3716846533747942,0.43669250645994834,0.5801886792452831,0.7402669632925473,1,class_weight_dissatisfied_3_neutral_2
2.5,1.2,1.0,0.5578825355090302,0.686848362904701,0.5843294262753552,0.36857508688494606,0.4780361757105943,0.4804582210242588,0.7944938820912124,1,class_weight_dissatisfied_3_neutral_2
1.0,1.5,1.0,0.5548279169826739,0.6952624839948783,0.5470855842762418,0.3290653008962868,0.21963824289405684,0.6610512129380054,0.7605672969966629,1,class_weight_dissatisfied_3_neutral_2
2.5,1.0,1.0,0.5503422943178555,0.6923358331809036,0.5812717876466978,0.36729467715383207,0.5116279069767442,0.3995956873315364,0.8325917686318132,1,class_weight_dissatisfied_3_neutral_2
2.0,2.0,1.0,0.5487859717685789,0.6445948417779404,0.5651283607375185,0.38174501554783247,0.3178294573643411,0.7351752021563343,0.6423804226918799,1,class_weight_dissatisfied_3_neutral_2
