experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae,class_weight,recall_dissatisfied,recall_neutral,recall_satisfied,base_class_weight_variant,multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied
baseline,main_all_school_extra_trees,1,5,Extra Trees,6834,5467,20,4.329168300027959,0.07224479998694733,4.401413100014906,Tuned Extra Trees on the full imputed all-school dataset.,0.616963822773665,0.7293343087051939,0.6253240997019286,0.3094367227505486,,,,,,,,
baseline,main_all_school_extra_trees,2,5,Extra Trees,6834,5467,20,4.021981700032484,0.07310290000168607,4.09508460003417,Tuned Extra Trees on the full imputed all-school dataset.,0.6018120964098056,0.7286027798098025,0.6055040742630468,0.3035844915874177,,,,,,,,
baseline,main_all_school_extra_trees,3,5,Extra Trees,6834,5467,20,4.0078770000254735,0.07452999998349696,4.0824070000089705,Tuned Extra Trees on the full imputed all-school dataset.,0.5996271882193013,0.7271397220190198,0.6013701709673741,0.3152889539136796,,,,,,,,
baseline,main_all_school_extra_trees,4,5,Extra Trees,6834,5467,20,3.941615700023249,0.07893070002319291,4.020546400046442,Tuned Extra Trees on the full imputed all-school dataset.,0.5938403856195887,0.7154352596927579,0.5973474189207636,0.3291880029261156,,,,,,,,
baseline,main_all_school_extra_trees,5,5,Extra Trees,6834,5468,20,4.470911999989767,0.0746750999824144,4.545587099972181,Tuned Extra Trees on the full imputed all-school dataset.,0.5493264254072899,0.7159590043923866,0.539237498838182,0.31112737920937045,,,,,,,,
feature_engineering,threshold_flags_co2_1000_t18_t24,1,5,Extra Trees,6834,5467,23,4.503064899996389,0.08758369996212423,4.590648599958513,Adds binary CO2 and temperature threshold indicators.,0.6192878536353968,0.723482077542063,0.6300721991654816,0.31602048280907097,,,,,,,,
feature_engineering,threshold_flags_co2_1000_t18_t24,2,5,Extra Trees,6834,5467,23,4.548781500023324,0.07507059996714815,4.623852099990472,Adds binary CO2 and temperature threshold indicators.,0.5802684497448594,0.7205559619604974,0.5845141788368166,0.3152889539136796,,,,,,,,
feature_engineering,threshold_flags_co2_1000_t18_t24,3,5,Extra Trees,6834,5467,23,4.38044749997789,0.07913660001941025,4.459584099997301,Adds binary CO2 and temperature threshold indicators.,0.5948446401227787,0.7205559619604974,0.5959223688272304,0.32040965618141914,,,,,,,,
feature_engineering,threshold_flags_co2_1000_t18_t24,4,5,Extra Trees,6834,5467,23,4.305516500025988,0.07549840002320707,4.381014900049195,Adds binary CO2 and temperature threshold indicators.,0.5878902753324541,0.7183613752743233,0.5875228560422661,0.3247988295537674,,,,,,,,
feature_engineering,threshold_flags_co2_1000_t18_t24,5,5,Extra Trees,6834,5468,23,4.32991289999336,0.07582929998170584,4.405742199975066,Adds binary CO2 and temperature threshold indicators.,0.5494925354678845,0.7108345534407028,0.5417895216341341,0.31991215226939973,,,,,,,,
