Experiment,Macro F1,Accuracy,Bal. acc.,Ordinal MAE,is_baseline,variant
Main all-school Extra Trees baseline,0.5923139836859301,0.7232942149238321,0.593756652538259,0.31372511007742643,True,main_all_school_extra_trees
Threshold T/CO2 feature engineering,-0.00595723282525551,-0.004536228888215255,-0.005792427637073327,0.00556090486804095,False,threshold_flags_co2_1000_t18_t24
Imputation-indicator columns,0.01153681283857555,0.0068774426692342905,0.012148011471218245,-0.007170161332646474,False,imputation_indicators
Soft-vote ET 0.80 + RF 0.20,0.0015278666403276686,0.0011708746536484016,0.0012135397355086397,-0.00043934575825704814,False,soft_vote_et_0.80_rf_0.20
Ordinal Extra Trees decomposition,-0.006210393145358872,0.006731136890156031,-0.008468725142705469,-0.0029268653183543436,False,ordinal_extra_trees_decomposition
Ordinal Random Forest decomposition,-0.044301131915931324,-0.011412386294383015,-0.03983656108469147,0.022824879694021694,False,ordinal_random_forest_decomposition
Best class-weight Extra Trees,0.0054823330058692,0.012876408032465814,-0.016417688139227282,-0.016973184057168522,False,class_weight_dissatisfied_3_neutral_2
Best class-weight + nested threshold,0.0022017597807967304,-0.0014624151592493861,-0.009465385099015733,-0.003659036845279018,False,best_class_weight_nested_threshold
Main-sensor complete-case filter,0.013578236608230987,-0.0024106920227017214,0.01513190923599439,0.0020330008306630454,False,complete_main_ieq_sensors
Lighting + Sound + Ttrend complete-case filter,0.009119928378721776,-0.021484074020818533,0.009454060287224064,0.018167403456555764,False,complete_lighting_sound_ttrend
Best synthetic sampling screen,0.0028623309956982146,-0.005998644047464752,0.01497912557373493,0.013314682738167216,False,synthetic_interpolate_to_50pct_majority
Ten-fold validation check,0.0034269032360831897,0.0011663691865170245,0.003951601764537238,-0.0008730983986443008,False,main_all_school_extra_trees_10fold
