experiment,training_population,evaluation_population,fold,rows,fit_seconds,predict_seconds,total_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
primary_trained_fold_models,Primary school,All rows,1,2754,5.759444900002563,0.3666414000035729,6.126086300006136,0.5962236746550472,0.45594220594220597,0.43392776860959775,0.5653935535597545,0.49092229484386346
primary_trained_fold_models,Primary school,Primary school,1,1021,5.759444900002563,0.3666414000035729,6.126086300006136,0.7600391772771793,0.6347525023995612,0.6213634532295789,0.7600956799633565,0.2908912830558276
primary_trained_fold_models,Primary school,Secondary school,1,834,5.759444900002563,0.3666414000035729,6.126086300006136,0.40047961630695444,0.38250783294214025,0.32496300713354975,0.3446985007899067,0.7146282973621103
primary_trained_fold_models,Primary school,Test lecture room,1,899,5.759444900002563,0.3666414000035729,6.126086300006136,0.5917686318131257,0.3627907301770988,0.32613620128142284,0.5491150834645249,0.5105672969966629
primary_trained_fold_models,Primary school,All rows,2,2753,5.628773099990212,0.35835880000377074,5.987131899993983,0.6193243734108246,0.4464585285515518,0.4460083848344658,0.5806131217207171,0.4464220849981838
primary_trained_fold_models,Primary school,Primary school,2,1020,5.628773099990212,0.35835880000377074,5.987131899993983,0.7705882352941177,0.6231680523164281,0.6328970737534486,0.7670574801434472,0.26176470588235295
primary_trained_fold_models,Primary school,Secondary school,2,834,5.628773099990212,0.35835880000377074,5.987131899993983,0.407673860911271,0.3679387918894692,0.31105653362784874,0.342310263896105,0.6954436450839329
primary_trained_fold_models,Primary school,Test lecture room,2,899,5.628773099990212,0.35835880000377074,5.987131899993983,0.6440489432703004,0.3642636768881258,0.35538797713850384,0.5930902002798399,0.42491657397107896
primary_trained_fold_models,Primary school,All rows,3,2753,5.730115400001523,0.35137099999701604,6.081486399998539,0.5924446058844897,0.43459463487372285,0.4186035891295703,0.5538503409652878,0.49291681801670906
primary_trained_fold_models,Primary school,Primary school,3,1020,5.730115400001523,0.35137099999701604,6.081486399998539,0.7676470588235295,0.6284443084671575,0.6313313155020757,0.7633556190720043,0.26862745098039215
primary_trained_fold_models,Primary school,Secondary school,3,834,5.730115400001523,0.35137099999701604,6.081486399998539,0.38609112709832133,0.35197581273630596,0.2902169756861864,0.31482156148085677,0.7254196642685852
primary_trained_fold_models,Primary school,Test lecture room,3,899,5.730115400001523,0.35137099999701604,6.081486399998539,0.5850945494994438,0.3471217860963837,0.3174697203486967,0.5415261030294855,0.5317018909899889
primary_trained_fold_models,Primary school,All rows,4,2753,6.33391240000492,0.26511130000289995,6.59902370000782,0.6164184525971668,0.45104396391693474,0.4409182150083611,0.572271694802887,0.4544133672357428
primary_trained_fold_models,Primary school,Primary school,4,1020,6.33391240000492,0.26511130000289995,6.59902370000782,0.7598039215686274,0.6293487148601192,0.6264486336799412,0.7590773541928881,0.2735294117647059
primary_trained_fold_models,Primary school,Secondary school,4,834,6.33391240000492,0.26511130000289995,6.59902370000782,0.4148681055155875,0.3763515963601003,0.3178279746384682,0.34744453058062463,0.697841726618705
primary_trained_fold_models,Primary school,Test lecture room,4,899,6.33391240000492,0.26511130000289995,6.59902370000782,0.6407119021134594,0.36979725494388926,0.3282840880271287,0.5586565734505511,0.43381535038932145
primary_trained_fold_models,Primary school,All rows,5,2753,5.650906599999871,0.22437519999220967,5.875281799992081,0.6127860515800945,0.44443625559558125,0.4374387367977799,0.5721468399047152,0.4555030875408645
primary_trained_fold_models,Primary school,Primary school,5,1020,5.650906599999871,0.22437519999220967,5.875281799992081,0.7529411764705882,0.6068578850179094,0.6058222481340191,0.7496964273675021,0.28137254901960784
primary_trained_fold_models,Primary school,Secondary school,5,834,5.650906599999871,0.22437519999220967,5.875281799992081,0.40047961630695444,0.3616003284957911,0.30642456382374633,0.3393892983492575,0.7182254196642686
primary_trained_fold_models,Primary school,Test lecture room,5,899,5.650906599999871,0.22437519999220967,5.875281799992081,0.6507230255839822,0.37897804975370525,0.36389013762418143,0.592731915979722,0.40934371523915464
