variant,class,bin,mean_predicted_probability,observed_fraction
main_all_school_extra_trees,dissatisfied,1,0.04226143787563507,0.02159880834160874
main_all_school_extra_trees,dissatisfied,2,0.141927599770458,0.05332409972299169
main_all_school_extra_trees,dissatisfied,3,0.24495172624189612,0.0913884007029877
main_all_school_extra_trees,dissatisfied,4,0.3449719502230323,0.21694915254237288
main_all_school_extra_trees,dissatisfied,5,0.44399334761155385,0.24210526315789474
main_all_school_extra_trees,dissatisfied,6,0.5426376839595621,0.43333333333333335
main_all_school_extra_trees,dissatisfied,7,0.6459115310738771,0.5466666666666666
main_all_school_extra_trees,dissatisfied,8,0.7369381061782956,0.5538461538461539
main_all_school_extra_trees,dissatisfied,9,0.8461260375972213,0.6585365853658537
main_all_school_extra_trees,dissatisfied,10,0.915345485539855,0.2857142857142857
main_all_school_extra_trees,satisfied,1,0.06688240616475907,0.13953488372093023
main_all_school_extra_trees,satisfied,2,0.1507960081281667,0.2096069868995633
main_all_school_extra_trees,satisfied,3,0.2497045324852447,0.27229299363057324
main_all_school_extra_trees,satisfied,4,0.35371806881069606,0.43465045592705165
main_all_school_extra_trees,satisfied,5,0.4515267441597377,0.5795314426633785
main_all_school_extra_trees,satisfied,6,0.5511650588217726,0.7281449893390192
main_all_school_extra_trees,satisfied,7,0.6489257529617626,0.7951219512195122
main_all_school_extra_trees,satisfied,8,0.7486655728016225,0.8960155490767736
main_all_school_extra_trees,satisfied,9,0.8456127056001467,0.9434447300771208
main_all_school_extra_trees,satisfied,10,0.9347591558133078,0.9795918367346939
calibrated_sigmoid_extra_trees,dissatisfied,1,0.057246501467940095,0.0353628023352794
calibrated_sigmoid_extra_trees,dissatisfied,2,0.1347380819537208,0.24
calibrated_sigmoid_extra_trees,dissatisfied,3,0.24201409250767697,0.5454545454545454
calibrated_sigmoid_extra_trees,dissatisfied,4,0.31969281703290453,0.4878048780487805
calibrated_sigmoid_extra_trees,satisfied,1,0.3931514347030174,0.5
calibrated_sigmoid_extra_trees,satisfied,2,0.46783134137205334,0.16101694915254236
calibrated_sigmoid_extra_trees,satisfied,3,0.5697148709543255,0.7056530214424951
calibrated_sigmoid_extra_trees,satisfied,4,0.6479982398293507,0.6848897231346786
calibrated_sigmoid_extra_trees,satisfied,5,0.7239360519607347,0.5142543859649122
calibrated_sigmoid_extra_trees,satisfied,6,0.8038244548329674,1.0
calibrated_isotonic_extra_trees,dissatisfied,1,0.04617304594335686,0.032707028531663185
calibrated_isotonic_extra_trees,dissatisfied,2,0.1369037710364719,0.1683599419448476
calibrated_isotonic_extra_trees,dissatisfied,3,0.24519956947747734,0.39603960396039606
calibrated_isotonic_extra_trees,dissatisfied,4,0.3416274734330744,0.5447761194029851
calibrated_isotonic_extra_trees,dissatisfied,5,0.4415134144260576,0.46296296296296297
calibrated_isotonic_extra_trees,dissatisfied,6,0.5321475422652046,0.3333333333333333
calibrated_isotonic_extra_trees,dissatisfied,7,0.6172431332529427,0.0
calibrated_isotonic_extra_trees,satisfied,1,0.18762371405766542,0.0
calibrated_isotonic_extra_trees,satisfied,2,0.255698372076865,0.11363636363636363
calibrated_isotonic_extra_trees,satisfied,3,0.35998598433506496,0.1891891891891892
calibrated_isotonic_extra_trees,satisfied,4,0.45791860006428986,0.2090032154340836
calibrated_isotonic_extra_trees,satisfied,5,0.5557234178607493,0.36426592797783935
calibrated_isotonic_extra_trees,satisfied,6,0.6652707295960756,0.7063349576814568
calibrated_isotonic_extra_trees,satisfied,7,0.7344807673927654,0.9136690647482014
calibrated_isotonic_extra_trees,satisfied,8,0.8145762045743046,0.9781420765027322
