multiplier_dissatisfied,multiplier_neutral,multiplier_satisfied,macro_f1,accuracy,balanced_accuracy,ordinal_mae,recall_dissatisfied,recall_neutral,recall_satisfied,outer_fold,base_variant
2.5,1.0,1.0,0.34744155923870573,0.6647155661240168,0.3860481403875873,0.39912200475580756,0.165374677002584,0.0,0.9927697441601779,1,calibrated_sigmoid_extra_trees
2.5,1.2,1.0,0.34708734411687064,0.6564843607097128,0.38240452918736184,0.40735321017011156,0.165374677002584,0.0026954177897574125,0.9791434927697441,1,calibrated_sigmoid_extra_trees
2.5,2.0,1.0,0.34332149070038237,0.4525333821108469,0.3219924949274414,0.5979513444302177,0.15762273901808785,0.23382749326145552,0.5745272525027809,1,calibrated_sigmoid_extra_trees
2.5,1.5,1.0,0.3391027078983315,0.6010609109200659,0.35682429478495603,0.4614962502286446,0.165374677002584,0.01549865229110512,0.889599555061179,1,calibrated_sigmoid_extra_trees
2.0,1.0,1.0,0.31658967764326823,0.661788915310042,0.3622747161886257,0.40497530638375706,0.09043927648578812,0.0,0.996384872080089,1,calibrated_sigmoid_extra_trees
2.0,1.2,1.0,0.3162452812795689,0.653557709895738,0.3586311049884002,0.4132065117980611,0.09043927648578812,0.0026954177897574125,0.9827586206896551,1,calibrated_sigmoid_extra_trees
2.0,2.0,1.0,0.30934230363914367,0.44978964697274554,0.2975660399748448,0.6017925736235595,0.07751937984496124,0.23787061994609165,0.5773081201334817,1,calibrated_sigmoid_extra_trees
2.0,1.5,1.0,0.3082807253081808,0.5979513444302177,0.33295817499830443,0.4675324675324675,0.09043927648578812,0.01549865229110512,0.89293659621802,1,calibrated_sigmoid_extra_trees
1.5,1.0,1.0,0.2732072338629415,0.6586793488201939,0.33763996554694226,0.41119443936345346,0.012919896640826873,0.0,1.0,1,calibrated_sigmoid_extra_trees
1.5,1.2,1.0,0.27287202793208637,0.6504481434058899,0.3339963543467168,0.41942564477775746,0.012919896640826873,0.0026954177897574125,0.9863737486095662,1,calibrated_sigmoid_extra_trees
1.5,2.0,1.0,0.26748456853408437,0.4472288275105176,0.27529723256582755,0.6056338028169014,0.002583979328165375,0.24460916442048516,0.5786985539488321,1,calibrated_sigmoid_extra_trees
1.0,2.0,1.0,0.26589236499949837,0.4472288275105176,0.2746605242722522,0.6058167184927749,0.0,0.24528301886792453,0.5786985539488321,1,calibrated_sigmoid_extra_trees
1.2,2.0,1.0,0.26589236499949837,0.4472288275105176,0.2746605242722522,0.6058167184927749,0.0,0.24528301886792453,0.5786985539488321,1,calibrated_sigmoid_extra_trees
1.5,1.5,1.0,0.26497550648862345,0.5948417779403695,0.308323424356621,0.4737516005121639,0.012919896640826873,0.01549865229110512,0.896551724137931,1,calibrated_sigmoid_extra_trees
1.0,1.0,1.0,0.2645187391959984,0.6577647704408268,0.3333333333333333,0.4130235961221877,0.0,0.0,1.0,1,calibrated_sigmoid_extra_trees
1.2,1.0,1.0,0.2645187391959984,0.6577647704408268,0.3333333333333333,0.4130235961221877,0.0,0.0,1.0,1,calibrated_sigmoid_extra_trees
1.0,1.2,1.0,0.2641841121614554,0.6495335650265228,0.3296897221331079,0.4212548015364917,0.0,0.0026954177897574125,0.9863737486095662,1,calibrated_sigmoid_extra_trees
1.2,1.2,1.0,0.2641841121614554,0.6495335650265228,0.3296897221331079,0.4212548015364917,0.0,0.0026954177897574125,0.9863737486095662,1,calibrated_sigmoid_extra_trees
