experiment,variant,fold,cv_splits,model,rows,train_rows_after_sampling,predictors,fit_seconds,predict_seconds,total_seconds,note,macro_f1,accuracy,balanced_accuracy,ordinal_mae
soft_vote_extra_trees_random_forest,soft_vote_et_0.80_rf_0.20,1,5,Extra Trees + Random Forest,6834,5467,20,5.535063199989963,0.1178148000035435,5.652877999993507,Fold-internal probability soft vote with ET weight 0.80 and RF weight 0.20.,0.6228282099126431,0.7307973664959766,0.6327246421814313,0.3094367227505486
soft_vote_extra_trees_random_forest,soft_vote_et_0.86_rf_0.14,1,5,Extra Trees + Random Forest,6834,5467,20,5.535063199989963,0.1178148000035435,5.652877999993507,Fold-internal probability soft vote with ET weight 0.86 and RF weight 0.14.,0.6170841048299545,0.7278712509144111,0.6265927982748354,0.31236283833211415
soft_vote_extra_trees_random_forest,soft_vote_et_0.90_rf_0.10,1,5,Extra Trees + Random Forest,6834,5467,20,5.535063199989963,0.1178148000035435,5.652877999993507,Fold-internal probability soft vote with ET weight 0.90 and RF weight 0.10.,0.6166214612267927,0.7264081931236284,0.6258512335733152,0.3130943672275055
soft_vote_extra_trees_random_forest,soft_vote_et_0.95_rf_0.05,1,5,Extra Trees + Random Forest,6834,5467,20,5.535063199989963,0.1178148000035435,5.652877999993507,Fold-internal probability soft vote with ET weight 0.95 and RF weight 0.05.,0.6156512911411062,0.7278712509144111,0.6240548447545826,0.3108997805413314
soft_vote_extra_trees_random_forest,soft_vote_et_0.80_rf_0.20,2,5,Extra Trees + Random Forest,6834,5467,20,5.564375200017821,0.12260689999675378,5.686982100014575,Fold-internal probability soft vote with ET weight 0.80 and RF weight 0.20.,0.5975705332639186,0.7264081931236284,0.6018537736905137,0.30724213606437456
soft_vote_extra_trees_random_forest,soft_vote_et_0.86_rf_0.14,2,5,Extra Trees + Random Forest,6834,5467,20,5.564375200017821,0.12260689999675378,5.686982100014575,Fold-internal probability soft vote with ET weight 0.86 and RF weight 0.14.,0.6003332562621354,0.7293343087051939,0.6038645933393799,0.3043160204828091
soft_vote_extra_trees_random_forest,soft_vote_et_0.90_rf_0.10,2,5,Extra Trees + Random Forest,6834,5467,20,5.564375200017821,0.12260689999675378,5.686982100014575,Fold-internal probability soft vote with ET weight 0.90 and RF weight 0.10.,0.5985600638894805,0.7278712509144111,0.6020676481462083,0.30504754937820044
soft_vote_extra_trees_random_forest,soft_vote_et_0.95_rf_0.05,2,5,Extra Trees + Random Forest,6834,5467,20,5.564375200017821,0.12260689999675378,5.686982100014575,Fold-internal probability soft vote with ET weight 0.95 and RF weight 0.05.,0.599092328283496,0.7278712509144111,0.6020676481462083,0.30504754937820044
soft_vote_extra_trees_random_forest,soft_vote_et_0.80_rf_0.20,3,5,Extra Trees + Random Forest,6834,5467,20,5.938549500016961,0.13558289996581152,6.074132399982773,Fold-internal probability soft vote with ET weight 0.80 and RF weight 0.20.,0.5974822259208342,0.7271397220190198,0.5987317197382457,0.31602048280907097
soft_vote_extra_trees_random_forest,soft_vote_et_0.86_rf_0.14,3,5,Extra Trees + Random Forest,6834,5467,20,5.938549500016961,0.13558289996581152,6.074132399982773,Fold-internal probability soft vote with ET weight 0.86 and RF weight 0.14.,0.5978939430504294,0.7271397220190198,0.5987317197382457,0.3152889539136796
soft_vote_extra_trees_random_forest,soft_vote_et_0.90_rf_0.10,3,5,Extra Trees + Random Forest,6834,5467,20,5.938549500016961,0.13558289996581152,6.074132399982773,Fold-internal probability soft vote with ET weight 0.90 and RF weight 0.10.,0.5987212267460923,0.7278712509144111,0.5996301923348314,0.3145574250182882
soft_vote_extra_trees_random_forest,soft_vote_et_0.95_rf_0.05,3,5,Extra Trees + Random Forest,6834,5467,20,5.938549500016961,0.13558289996581152,6.074132399982773,Fold-internal probability soft vote with ET weight 0.95 and RF weight 0.05.,0.5994171527186084,0.7278712509144111,0.6006855728264828,0.3145574250182882
soft_vote_extra_trees_random_forest,soft_vote_et_0.80_rf_0.20,4,5,Extra Trees + Random Forest,6834,5467,20,5.6728517999872565,0.12428529997123405,5.797137099958491,Fold-internal probability soft vote with ET weight 0.80 and RF weight 0.20.,0.5950795057887971,0.7190929041697147,0.5956079966626601,0.32553035844915873
soft_vote_extra_trees_random_forest,soft_vote_et_0.86_rf_0.14,4,5,Extra Trees + Random Forest,6834,5467,20,5.6728517999872565,0.12428529997123405,5.797137099958491,Fold-internal probability soft vote with ET weight 0.86 and RF weight 0.14.,0.5946080571623561,0.7183613752743233,0.5952372143118999,0.3262618873445501
soft_vote_extra_trees_random_forest,soft_vote_et_0.90_rf_0.10,4,5,Extra Trees + Random Forest,6834,5467,20,5.6728517999872565,0.12428529997123405,5.797137099958491,Fold-internal probability soft vote with ET weight 0.90 and RF weight 0.10.,0.5969071794467955,0.7183613752743233,0.5983028580779783,0.32553035844915873
soft_vote_extra_trees_random_forest,soft_vote_et_0.95_rf_0.05,4,5,Extra Trees + Random Forest,6834,5467,20,5.6728517999872565,0.12428529997123405,5.797137099958491,Fold-internal probability soft vote with ET weight 0.95 and RF weight 0.05.,0.5953229705405674,0.7168983174835406,0.5980889836222838,0.32772494513533285
soft_vote_extra_trees_random_forest,soft_vote_et_0.80_rf_0.20,5,5,Extra Trees + Random Forest,6834,5468,20,7.570303899992723,0.16772709996439517,7.738030999957118,Fold-internal probability soft vote with ET weight 0.80 and RF weight 0.20.,0.5562487767450958,0.718887262079063,0.5459328290959874,0.308199121522694
soft_vote_extra_trees_random_forest,soft_vote_et_0.86_rf_0.14,5,5,Extra Trees + Random Forest,6834,5468,20,7.570303899992723,0.16772709996439517,7.738030999957118,Fold-internal probability soft vote with ET weight 0.86 and RF weight 0.14.,0.5567703397244296,0.719619326500732,0.5457759212009218,0.3074670571010249
soft_vote_extra_trees_random_forest,soft_vote_et_0.90_rf_0.10,5,5,Extra Trees + Random Forest,6834,5468,20,7.570303899992723,0.16772709996439517,7.738030999957118,Fold-internal probability soft vote with ET weight 0.90 and RF weight 0.10.,0.5559130433300681,0.718887262079063,0.544877448604336,0.308199121522694
