paper,variant,model,fold,rows,fit_seconds,predict_seconds,total_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
ieq,primary_only_training_and_evaluation,Logistic regression,1,5101,0.1063719000085257,0.004838299995753914,0.11121020000427961,0.4877571008814887,0.4841305753070459,0.40547747907609494,0.5296488739574255,0.6581782566111655
ieq,primary_only_training_and_evaluation,Logistic regression,2,5101,0.0875382000231184,0.004091599956154823,0.09162979997927323,0.5088235294117647,0.5291577605888405,0.4330133711775697,0.5480425828397747,0.6254901960784314
ieq,primary_only_training_and_evaluation,Logistic regression,3,5101,0.08353970001917332,0.0041514000040479004,0.08769110002322122,0.4676470588235294,0.5003128585475282,0.39601941301455373,0.5123308630098417,0.7009803921568627
ieq,primary_only_training_and_evaluation,Logistic regression,4,5101,0.06327250000322238,0.004036400001496077,0.06730890000471845,0.47058823529411764,0.463922520235222,0.3872065679134944,0.5171725150255402,0.7019607843137254
ieq,primary_only_training_and_evaluation,Logistic regression,5,5101,0.06788949994370341,0.004021700005978346,0.07191119994968176,0.47352941176470587,0.4934315156983504,0.399525224669365,0.5171557574730462,0.6892156862745098
ieq,primary_only_training_and_evaluation,Random Forest,1,5101,0.8144690999761224,0.04056230001151562,0.855031399987638,0.7610186092066601,0.6349826643944291,0.6297770592856448,0.7575618179547009,0.28795298726738494
ieq,primary_only_training_and_evaluation,Random Forest,2,5101,0.8214844000176527,0.04160380002576858,0.8630882000434212,0.7490196078431373,0.6015364500878109,0.6060483185354186,0.7436056035849637,0.2901960784313726
ieq,primary_only_training_and_evaluation,Random Forest,3,5101,0.8248482000199147,0.04957630002172664,0.8744245000416413,0.7470588235294118,0.6136082651799661,0.6131804287887945,0.7391103834089101,0.28921568627450983
ieq,primary_only_training_and_evaluation,Random Forest,4,5101,0.7896448000101373,0.04016159998718649,0.8298063999973238,0.7421568627450981,0.5961554171409399,0.5974507262061005,0.7373451019395548,0.29705882352941176
ieq,primary_only_training_and_evaluation,Random Forest,5,5101,0.856867800001055,0.04245970002375543,0.8993275000248104,0.7441176470588236,0.5871447352854003,0.5865366216213918,0.7395372075351565,0.2931372549019608
ieq,primary_only_training_and_evaluation,Extra Trees,1,5101,3.768091899983119,0.09281750000081956,3.860909399983939,0.7600391772771793,0.6347525023995612,0.6213634532295789,0.7600956799633565,0.2908912830558276
ieq,primary_only_training_and_evaluation,Extra Trees,2,5101,3.6838019999559037,0.09692670003278181,3.7807286999886855,0.7705882352941177,0.6231680523164281,0.6328970737534486,0.7670574801434472,0.26176470588235295
ieq,primary_only_training_and_evaluation,Extra Trees,3,5101,3.7049011000199243,0.09623389999615029,3.8011350000160746,0.7676470588235295,0.6284443084671575,0.6313313155020757,0.7633556190720043,0.26862745098039215
ieq,primary_only_training_and_evaluation,Extra Trees,4,5101,3.7330319000175223,0.09119539998937398,3.8242273000068963,0.7598039215686274,0.6293487148601192,0.6264486336799412,0.7590773541928881,0.2735294117647059
ieq,primary_only_training_and_evaluation,Extra Trees,5,5101,3.7109387000091374,0.09583810000913218,3.8067768000182696,0.7529411764705882,0.6068578850179094,0.6058222481340191,0.7496964273675021,0.28137254901960784
ieq,primary_only_training_and_evaluation,Gradient boosting,1,5101,0.4484427999705076,0.006487800041213632,0.45493060001172125,0.7238001958863859,0.4264803823627353,0.4302880311069977,0.649538755717852,0.3330068560235064
ieq,primary_only_training_and_evaluation,Gradient boosting,2,5101,0.44940959999803454,0.006192700006067753,0.4556023000041023,0.7284313725490196,0.44314883243768227,0.46687010570304716,0.6647272317067887,0.3205882352941177
ieq,primary_only_training_and_evaluation,Gradient boosting,3,5101,0.4648659999947995,0.005988100019749254,0.47085410001454875,0.7352941176470589,0.46203883830848685,0.4949002168022733,0.6738158184907352,0.3088235294117647
ieq,primary_only_training_and_evaluation,Gradient boosting,4,5101,0.4712316999793984,0.006458399991970509,0.4776900999713689,0.7235294117647059,0.4336333171874882,0.44843292109805827,0.6531448747638573,0.3205882352941177
ieq,primary_only_training_and_evaluation,Gradient boosting,5,5101,0.4673321000300348,0.006036299979314208,0.473368400009349,0.7333333333333333,0.4583215912981067,0.4761844776121393,0.670529982433379,0.30980392156862746
ieq,primary_only_training_and_evaluation,ANN / MLP,1,5101,1.0680813000071794,0.005776099977083504,1.0738573999842629,0.7198824681684622,0.5065934065934066,0.5284030784030783,0.7024981167488513,0.32517140058765914
ieq,primary_only_training_and_evaluation,ANN / MLP,2,5101,0.936544900003355,0.005905500031076372,0.9424504000344314,0.7382352941176471,0.5110215508810768,0.5407718708037259,0.7169062683363384,0.30686274509803924
ieq,primary_only_training_and_evaluation,ANN / MLP,3,5101,1.088958200009074,0.004719399963505566,1.0936775999725796,0.7019607843137254,0.5315388296495559,0.5471000956495393,0.6943749056507713,0.3382352941176471
ieq,primary_only_training_and_evaluation,ANN / MLP,4,5101,1.0954075999907218,0.004785400000400841,1.1001929999911226,0.7186274509803922,0.5206453696614265,0.5499261219315055,0.7066736372967075,0.3127450980392157
ieq,primary_only_training_and_evaluation,ANN / MLP,5,5101,1.0839718999923207,0.004673899966292083,1.0886457999586128,0.7294117647058823,0.5119940188652742,0.5352446134392012,0.7110198925732216,0.3058823529411765
