feature,role,complete_rows,missing_rows,total_rows,completeness_percent
IEQ satisfaction,Output,6834,0,6834,100.0
Temperature,Input,6834,0,6834,100.0
RH,Input,6834,0,6834,100.0
CLO,Input,6503,331,6834,95.15657009072285
CO2,Input,6834,0,6834,100.0
Lighting,Input,5349,1485,6834,78.270412642669
Sound,Input,6347,487,6834,92.87386596429616
Age,Input,6278,556,6834,91.86420836991513
Gender,Input,6278,556,6834,91.86420836991513
EA,Input,6834,0,6834,100.0
LocationBack,Input,6583,251,6834,96.32718759145449
LocationFront,Input,6583,251,6834,96.32718759145449
LocationLeft,Input,6583,251,6834,96.32718759145449
LocationRight,Input,6834,0,6834,100.0
LocationMiddle,Input,6583,251,6834,96.32718759145449
Ttrend,Input,2801,4033,6834,40.9862452443664
Vote hour,Input,6834,0,6834,100.0
Vote weekday,Input,6834,0,6834,100.0
Moment,Input,6834,0,6834,100.0
AC on/off,Input,6834,0,6834,100.0
