model,n_candidates_tested,total_grid_candidates,rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,std_fit_time,params_json
Logistic regression,14,14,1,0.40246881107994703,0.010246677194464406,0.48346412670123307,0.009685960107708556,0.4676764924126994,0.015334964639086342,0.14736332893371581,0.028274494586687994,"{""model__C"": 0.03, ""model__class_weight"": ""balanced"", ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,14,0.3120409282376136,0.005097610521139132,0.6627155894912609,0.005919941965460767,0.35252892432726185,0.0042151580167655725,0.11256895065307618,0.0026715537060684005,"{""model__C"": 0.03, ""model__class_weight"": null, ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,2,0.40185728531445725,0.011081536664927534,0.4837569524699007,0.009638925675906403,0.465781502216103,0.017791905449635374,0.11902108192443847,0.009490980139154535,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,13,0.3202482873640932,0.010056199949138925,0.6630077726283952,0.00741461096419856,0.3562906708212451,0.007043846955275215,0.20533466339111328,0.023958944996754654,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,3,0.401029638500921,0.011232044159283363,0.48302510225874273,0.00993486663373203,0.46457935579272014,0.016801533982410972,0.15957932472229003,0.011290054187346674,"{""model__C"": 0.3, ""model__class_weight"": ""balanced"", ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,12,0.32213816143585805,0.008499546744727762,0.6625687481859048,0.006010598137244468,0.35691250580411016,0.00605236093312794,0.1818760871887207,0.019049371814447554,"{""model__C"": 0.3, ""model__class_weight"": null, ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,7,0.4002572635927977,0.011633670035085678,0.4822933591528402,0.01021675549431556,0.4634899066395793,0.017058649570769923,0.18740110397338866,0.02717036663749037,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,11,0.3270261421520385,0.009707600369935877,0.6633003841865517,0.00592080336156369,0.35945938810378786,0.006792899381172621,0.22830805778503419,0.03497344054481507,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,5,0.40070274946122214,0.011067392891781606,0.4827322764900751,0.00968671444328578,0.4639234521483656,0.01640703099147057,0.16540069580078126,0.033767032703016835,"{""model__C"": 3.0, ""model__class_weight"": ""balanced"", ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,8,0.3289579107243219,0.008397119461369897,0.6637395157342976,0.005713134180478927,0.36051322158686666,0.006097575561166535,0.1450430393218994,0.024753089131976196,"{""model__C"": 3.0, ""model__class_weight"": null, ""model__solver"": ""lbfgs""}"
Logistic regression,14,14,6,0.40056525528463877,0.011324731278289197,0.4827322764900751,0.009894415550914783,0.46371237605003535,0.016701422542918988,0.13481059074401855,0.017853369382640254,"{""model__C"": 10.0, ""model__class_weight"": ""balanced"", ""model__solver"": ""lbfgs""}"
