model,fold,fit_seconds,predict_seconds,total_seconds,macro_f1,accuracy,balanced_accuracy,weighted_f1,ordinal_mae
Logistic regression,1,0.09390180004993454,0.0055006000329740345,0.09940240008290857,0.4061541162988429,0.48719824433065106,0.4716624125143696,0.524261344032028,0.6671543525969276
Logistic regression,2,0.057472300017252564,0.00929689995246008,0.06676919996971264,0.38583240677008873,0.4681784930504755,0.44300002084343504,0.5100363599335965,0.6773957571324067
Logistic regression,3,0.07162529998458922,0.005148200027178973,0.07677350001176819,0.41623811698208324,0.4959765910753475,0.4894297562794557,0.5349477088126876,0.6649597659107535
Logistic regression,4,0.07290420000208542,0.005089699989184737,0.07799389999127015,0.40678686477460363,0.48866130212143377,0.47335885999866534,0.5244700346580189,0.6634967081199707
Logistic regression,5,0.06895200000144541,0.005895000009331852,0.07484700001077726,0.3973325505741168,0.4773060029282577,0.46093141242757163,0.5140840052614317,0.6705710102489019
Random Forest,1,1.4197949999943376,0.04709870001534,1.4668937000096776,0.5976748492478797,0.7110460863204097,0.6050735434794622,0.7078579696750731,0.33430870519385514
Random Forest,2,1.458796099992469,0.05325050000101328,1.5120465999934822,0.5827874620726198,0.7103145574250183,0.5884196595155345,0.7092364075924125,0.3247988295537674
Random Forest,3,1.4251249000080861,0.04605830000946298,1.471183200017549,0.6010987110823953,0.7264081931236284,0.6064019904851935,0.7238874222447248,0.3182150694952451
Random Forest,4,1.4206331000314094,0.04566510004224256,1.466298200073652,0.5943350739087524,0.7081199707388441,0.5959765535156637,0.7048178761107934,0.3372348207754206
Random Forest,5,1.4208573999931104,0.05380940000759438,1.4746668000007048,0.561027407910368,0.712298682284041,0.5528260848382,0.7047754858640206,0.3140556368960469
Extra Trees,1,3.9518138999701478,0.07262439996702597,4.024438299937174,0.616963822773665,0.7293343087051939,0.6253240997019286,0.7279168318841027,0.3094367227505486
Extra Trees,2,3.9879221000010148,0.07806430000346154,4.065986400004476,0.6018120964098056,0.7286027798098025,0.6055040742630468,0.7268833184517287,0.3035844915874177
Extra Trees,3,4.0116236000321805,0.07473420002497733,4.086357800057158,0.5996271882193013,0.7271397220190198,0.6013701709673741,0.7261814620892106,0.3152889539136796
Extra Trees,4,3.880864800012205,0.07299489999422804,3.953859700006433,0.5938403856195887,0.7154352596927579,0.5973474189207636,0.7144790222521792,0.3291880029261156
Extra Trees,5,3.957676900026854,0.0740669000078924,4.0317438000347465,0.5493264254072899,0.7159590043923866,0.539237498838182,0.7075479041371635,0.31112737920937045
Gradient boosting,1,4.24227200000314,0.020379099994897842,4.262651099998038,0.4935845139206201,0.6839795171909291,0.4667941876881157,0.6429720736923945,0.35918068763716166
Gradient boosting,2,4.261712500010617,0.01088819996220991,4.272600699972827,0.4841127211810708,0.6949524506217996,0.46378717960598365,0.6543145459089583,0.3408924652523775
Gradient boosting,3,4.206070100015495,0.012410499970428646,4.218480599985924,0.5206930993167056,0.7088514996342355,0.49407561678820305,0.6736895592403026,0.3372348207754206
Gradient boosting,4,4.196517499978654,0.013988699996843934,4.210506199975498,0.5268693973820254,0.7022677395757132,0.49360322397968887,0.6637343061902263,0.3408924652523775
Gradient boosting,5,4.249969800002873,0.01205419999314472,4.262023999996018,0.46060723675031046,0.6844802342606149,0.4463704076540404,0.6393315055610973,0.3557833089311859
ANN / MLP,1,1.441552700009197,0.008856300031766295,1.4504090000409633,0.47301368143592315,0.695683979517191,0.45084000640077876,0.6494974836305832,0.34528163862472566
ANN / MLP,2,1.9143158000078984,0.00816670001950115,1.9224825000273995,0.47527089428840963,0.695683979517191,0.45506152836738445,0.6542394987977347,0.3445501097293343
ANN / MLP,3,2.6280257999897003,0.007377100002486259,2.6354028999921866,0.521176923143983,0.7000731528895391,0.5029189824336001,0.6800076743476563,0.3467446964155084
ANN / MLP,4,4.150155999988783,0.007500100007746369,4.1576560999965295,0.5166649995233379,0.6715435259692758,0.501776426309921,0.6593076125594165,0.373811265544989
ANN / MLP,5,2.1820720999967307,0.007131399994250387,2.189203499990981,0.4832254811155707,0.6910688140556369,0.47055625222994096,0.6563928950650404,0.3513909224011713
