model,true_label,predicted_label,count,row_percent
Logistic regression,dissatisfied,dissatisfied,238,49.17355371900827
Logistic regression,dissatisfied,neutral,118,24.380165289256198
Logistic regression,dissatisfied,satisfied,128,26.446280991735538
Logistic regression,neutral,dissatisfied,507,27.331536388140158
Logistic regression,neutral,neutral,724,39.02964959568733
Logistic regression,neutral,satisfied,624,33.63881401617251
Logistic regression,satisfied,dissatisfied,912,20.28921023359288
Logistic regression,satisfied,neutral,1241,27.60845383759733
Logistic regression,satisfied,satisfied,2342,52.10233592880979
Random Forest,dissatisfied,dissatisfied,216,44.62809917355372
Random Forest,dissatisfied,neutral,131,27.066115702479337
Random Forest,dissatisfied,satisfied,137,28.305785123966942
Random Forest,neutral,dissatisfied,182,9.811320754716983
Random Forest,neutral,neutral,904,48.73315363881402
Random Forest,neutral,satisfied,769,41.455525606469
Random Forest,satisfied,dissatisfied,132,2.9365962180200222
Random Forest,satisfied,neutral,606,13.481646273637374
Random Forest,satisfied,satisfied,3757,83.5817575083426
Extra Trees,dissatisfied,dissatisfied,205,42.35537190082644
Extra Trees,dissatisfied,neutral,144,29.75206611570248
Extra Trees,dissatisfied,satisfied,135,27.892561983471076
Extra Trees,neutral,dissatisfied,188,10.134770889487871
Extra Trees,neutral,neutral,960,51.75202156334232
Extra Trees,neutral,satisfied,707,38.113207547169814
Extra Trees,satisfied,dissatisfied,118,2.625139043381535
Extra Trees,satisfied,neutral,599,13.325917686318132
Extra Trees,satisfied,satisfied,3778,84.04894327030034
Gradient boosting,dissatisfied,dissatisfied,110,22.727272727272727
Gradient boosting,dissatisfied,neutral,124,25.6198347107438
Gradient boosting,dissatisfied,satisfied,250,51.652892561983464
Gradient boosting,neutral,dissatisfied,59,3.1805929919137466
Gradient boosting,neutral,neutral,504,27.169811320754718
Gradient boosting,neutral,satisfied,1292,69.64959568733153
Gradient boosting,satisfied,dissatisfied,35,0.778642936596218
Gradient boosting,satisfied,neutral,325,7.230255839822025
Gradient boosting,satisfied,satisfied,4135,91.99110122358177
ANN / MLP,dissatisfied,dissatisfied,101,20.867768595041323
ANN / MLP,dissatisfied,neutral,144,29.75206611570248
ANN / MLP,dissatisfied,satisfied,239,49.3801652892562
ANN / MLP,neutral,dissatisfied,86,4.636118598382749
ANN / MLP,neutral,neutral,607,32.722371967654986
ANN / MLP,neutral,satisfied,1162,62.64150943396226
ANN / MLP,satisfied,dissatisfied,56,1.2458286985539488
ANN / MLP,satisfied,neutral,426,9.477196885428253
ANN / MLP,satisfied,satisfied,4013,89.2769744160178
