model,fold,fit_seconds,predict_seconds,total_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
Logistic regression,1,0.18842400005087256,0.009980899980291724,0.1984049000311643,0.48719824433065106,0.472290600469071,0.4078699199351374,0.5234264961367311,0.6656912948061449
Logistic regression,2,0.20265210000798106,0.013011100003495812,0.21566320001147687,0.479151426481346,0.4454961123387582,0.3916710857748906,0.5191956435868638,0.6656912948061449
Logistic regression,3,0.19720559986308217,0.008112899959087372,0.20531849982216954,0.49890270665691294,0.4914405759283218,0.41865866713171207,0.5372203161553852,0.6649597659107535
Logistic regression,4,0.17645959998480976,0.010760500095784664,0.18722010008059442,0.4740307242136064,0.45146937922697106,0.39018559817198434,0.5118391737546691,0.6839795171909291
Logistic regression,5,0.22009629989042878,0.008834199979901314,0.2289304998703301,0.4743777452415813,0.4594482830245313,0.3954058125132795,0.5115673819117533,0.6749633967789166
Random Forest,1,1.8986068998929113,0.07756550004705787,1.9761723999399692,0.7147037307973665,0.6048166942499598,0.6001464430446086,0.7099883933280422,0.3262618873445501
Random Forest,2,1.8167109000496566,0.09526029997505248,1.911971200024709,0.7161667885881492,0.5877925843097113,0.58194583370324,0.7143017665448281,0.32040965618141914
Random Forest,3,1.9943846999667585,0.09194170008413494,2.0863264000508934,0.7278712509144111,0.6097820064158421,0.6058236500050561,0.7255836332456773,0.31894659839063644
Random Forest,4,1.8936264000367373,0.06659230007790029,1.9602187001146376,0.7029992684711046,0.5810180042871536,0.5781417051629835,0.6992352671264833,0.34528163862472566
Random Forest,5,1.9278112000320107,0.05353119992651045,1.9813423999585211,0.712298682284041,0.5512430141007229,0.5586968977875663,0.7042359010172704,0.3140556368960469
Extra Trees,1,7.726590099977329,0.1564107001759112,7.883000800153241,0.7278712509144111,0.6230999619718071,0.6140635950187906,0.727235840307206,0.3130943672275055
Extra Trees,2,7.631667499896139,0.14307800005190074,7.77474549994804,0.7307973664959766,0.6076718018069784,0.604602096895122,0.7289802852343615,0.302121433796635
Extra Trees,3,7.765259000007063,0.1472430001012981,7.912502000108361,0.723482077542063,0.5948675447100181,0.5956899178820491,0.7218054090190983,0.3174835405998537
Extra Trees,4,7.626476200064644,0.1613926999270916,7.787868899991736,0.7161667885881492,0.5941248672596197,0.5923444007583956,0.7147496448050009,0.3262618873445501
Extra Trees,5,7.93794810003601,0.15356789994984865,8.091515999985859,0.7144948755490483,0.5390236243824874,0.5482185755870321,0.7066344372001233,0.31478770131771594
Gradient boosting,1,1.0363616000395268,0.009664000011980534,1.0460256000515074,0.6803218727139722,0.43684699349523065,0.45584648293877733,0.6190246737430828,0.36795903438185806
Gradient boosting,2,1.022595499875024,0.013375099981203675,1.0359705998562276,0.6920263350402341,0.4353666459643859,0.44744988928710083,0.6353999646246203,0.3533284564740307
Gradient boosting,3,0.9997841999866068,0.010631600162014365,1.0104158001486212,0.7044623262618873,0.46026480394152963,0.48187735146323235,0.6535142135376154,0.34601316752011707
Gradient boosting,4,0.9761465000919998,0.020848299842327833,0.9969947999343276,0.68983174835406,0.45264816150857595,0.4757354843202801,0.6360615224665659,0.36137527432333577
Gradient boosting,5,1.1082913000136614,0.011373799992725253,1.1196651000063866,0.6852122986822841,0.43308594521682436,0.44429736090654304,0.62534212078832,0.3623718887262079
ANN / MLP,1,5.378662999952212,0.010158800054341555,5.3888218000065535,0.6708119970738844,0.48585122800957076,0.51041411944852,0.658134778251119,0.36430138990490124
ANN / MLP,2,5.217803800012916,0.009829499991610646,5.227633300004527,0.6964155084125823,0.4767409159689242,0.49388453640791713,0.6739301772018321,0.34162399414776884
ANN / MLP,3,5.933657899964601,0.009379199938848615,5.943037099903449,0.6971470373079737,0.4847255588804423,0.5025730801910778,0.6767649442535615,0.337966349670812
ANN / MLP,4,5.086298700189218,0.008416199823841453,5.094714900013059,0.6986100950987564,0.5049163666700842,0.5271429998147389,0.6807658648312738,0.3445501097293343
ANN / MLP,5,6.141204500105232,0.009697499917820096,6.150902000023052,0.7049780380673499,0.49936582018022085,0.5169196376496707,0.6866019719939436,0.3301610541727672
