model,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,params_json
Logistic regression,4,0.35479674406408146,0.008302539677557019,0.11172471046447754,0.0189481296878681,"{""model__C"": 3.0, ""model__class_weight"": null}"
Logistic regression,6,0.3490559090360695,0.006067671533861985,0.08750104904174805,0.004155530887204368,"{""model__C"": 0.1, ""model__class_weight"": null}"
Logistic regression,5,0.35342113156465577,0.005643761172187661,0.0754621982574463,0.005414496916067318,"{""model__C"": 0.3, ""model__class_weight"": null}"
Logistic regression,2,0.4415032485913695,0.009558177091962087,0.1053858757019043,0.016437976501034644,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
Logistic regression,3,0.4403444660069509,0.009951123782932107,0.0914954662322998,0.010414471683123674,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
Logistic regression,1,0.44184841833270666,0.009306192646942902,0.10576958656311035,0.020606396707635633,"{""model__C"": 30.0, ""model__class_weight"": ""balanced""}"
Random Forest,8,0.5812345477677545,0.016255810260916957,1.3022640705108643,0.025430412987136455,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,3,0.5899875429712627,0.015462336313307358,2.0484010696411135,0.0301589548555092,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,4,0.5881635946081447,0.01682549584454155,2.1986979484558105,0.05409850135345483,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,2,0.5935978538579978,0.017985641001398406,1.1034184455871583,0.016418613668988825,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 150}"
Random Forest,5,0.5869403884062028,0.0209381421569036,1.1134761810302733,0.03406062853418316,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 150}"
Random Forest,1,0.5937405659763161,0.014935615217137373,2.5107256412506103,0.04412335290079794,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 20, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Random Forest,6,0.5855695622639783,0.023512790868714842,2.01617317199707,0.021444939945434935,"{""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Random Forest,7,0.5826901428721991,0.01395668172989607,0.9449625015258789,0.024899669866531825,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
Extra Trees,2,0.5746090659277108,0.018355161798506756,0.9346906185150147,0.020992593556458283,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Extra Trees,4,0.5692756593031616,0.016352777675325395,1.444430160522461,0.03270884092133007,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}"
Extra Trees,5,0.565367155161166,0.015420026386374065,1.4122896194458008,0.017434596479374308,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}"
