model,fold,fit_seconds,predict_seconds,total_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
Logistic regression,1,0.11222800001269206,0.005175500002223998,0.11740350001491606,0.479151426481346,0.47407840200883405,0.43604481787763066,0.5038181587630022,0.68983174835406
Logistic regression,2,0.122119199950248,0.005211200041230768,0.12733039999147877,0.4952450621799561,0.5025850376152156,0.45630626467512864,0.5179457224458537,0.6700804681784931
Logistic regression,3,0.09577750001335517,0.008067600021604449,0.10384510003495961,0.4681784930504755,0.46403549242653436,0.42644221381887526,0.49301857243313035,0.7022677395757132
Logistic regression,4,0.1279215999529697,0.006693800038192421,0.13461539999116212,0.4725676664228237,0.48687564288739643,0.4378536520904965,0.5001190136705778,0.7103145574250183
Logistic regression,5,0.12357920000795275,0.005677400040440261,0.129256600048393,0.4912152269399707,0.4845875516099086,0.4450753815726232,0.5147049510013795,0.6661786237188873
Random Forest,1,0.9945573000004515,0.060488599992822856,1.0550458999932744,0.6203365032918801,0.5598945412557229,0.5480309470844084,0.6238560311819323,0.4667154352596928
Random Forest,2,1.2464684000005946,0.061367299989797175,1.3078356999903917,0.6605705925384052,0.6123483542082653,0.5921260490291989,0.6656276351758338,0.42574981711777615
Random Forest,3,1.1029375999933109,0.055588899995200336,1.1585264999885112,0.634235552304316,0.5873212520925355,0.5741329169146472,0.6378035346600499,0.4403803950256035
Random Forest,4,1.1687725000083447,0.0599987999885343,1.228771299996879,0.6532553035844916,0.6156829228938504,0.5942733680297162,0.6585626248376962,0.4301389904901244
Random Forest,5,0.9354778999695554,0.04871850000927225,0.9841963999788277,0.6383601756954612,0.5804104428284643,0.5654112160414774,0.6417940301849473,0.4341142020497804
Extra Trees,1,0.722168900014367,0.051517500018235296,0.7736864000326023,0.5640087783467447,0.5372286006736452,0.5054220947778538,0.5790441394809587,0.5574250182882224
Extra Trees,2,0.6996044000261463,0.046145199972670525,0.7457495999988168,0.598390636430139,0.5920135737480083,0.5469991281796761,0.6145176608859206,0.520848573518654
Extra Trees,3,0.6963610000093468,0.0475266000139527,0.7438876000232995,0.598390636430139,0.5857445392388213,0.5474888621729345,0.6112746020913757,0.5032918800292612
Extra Trees,4,0.693801999965217,0.04823070002021268,0.7420326999854296,0.6196049743964887,0.6046779512313185,0.5655559151436913,0.6331291188168608,0.48500365764447695
Extra Trees,5,0.6835744000272825,0.04887120000785217,0.7324456000351347,0.582723279648609,0.5467714102434279,0.5181404842741534,0.597522097865485,0.5153733528550513
Gradient boosting,1,2.919938799983356,0.009447599994018674,2.929386399977375,0.6349670811997074,0.45431049696456305,0.4615047904488532,0.5900716590160227,0.44842721287490855
Gradient boosting,2,3.401062999968417,0.007799600018188357,3.4088625999866053,0.6561814191660571,0.49020050523385966,0.5117043837223242,0.615322555634983,0.42062911485003657
Gradient boosting,3,2.7627732999972068,0.009308099979534745,2.7720813999767415,0.6232626188734455,0.44421413948891714,0.4507989583058413,0.5785277401367092,0.4594001463057791
Gradient boosting,4,3.095380600017961,0.00914590002503246,3.1045265000429936,0.6532553035844916,0.48003935479316673,0.49636168283976206,0.6130807933550776,0.43087051938551574
Gradient boosting,5,2.742480499960948,0.008124000043608248,2.750604500004556,0.6420204978038068,0.46701163520361694,0.48125803551215846,0.5968647472496436,0.4407027818448023
ANN / MLP,1,2.164318800030742,0.005183899949770421,2.1695026999805123,0.6283833211411851,0.48705918093624573,0.5017889618814931,0.6061854855202465,0.4476956839795172
ANN / MLP,2,1.8828301000175998,0.006081600033212453,1.8889117000508122,0.6561814191660571,0.5216137482099997,0.5421207616886691,0.636149834526234,0.4133138258961229
ANN / MLP,3,2.593789500009734,0.005362199968658388,2.5991516999783926,0.6057059253840527,0.4646879601056857,0.4788845986541257,0.5823119034622931,0.46452084857351866
ANN / MLP,4,2.17266770004062,0.0062293000519275665,2.1788970000925474,0.6517922457937089,0.5205301678062161,0.5354446101582809,0.6316312550792036,0.4264813460131675
ANN / MLP,5,2.323138999985531,0.005181100044865161,2.328320100030396,0.6156661786237189,0.5016550486829671,0.5141637891615879,0.606016422946527,0.4472913616398243
