model,true_label,predicted_label,count,row_percent
Logistic regression,dissatisfied,dissatisfied,395,49.436795994993744
Logistic regression,dissatisfied,neutral,210,26.282853566958696
Logistic regression,dissatisfied,satisfied,194,24.28035043804756
Logistic regression,neutral,dissatisfied,554,26.393520724154357
Logistic regression,neutral,neutral,979,46.6412577417818
Logistic regression,neutral,satisfied,566,26.965221534063836
Logistic regression,satisfied,dissatisfied,961,24.415650406504067
Logistic regression,satisfied,neutral,1060,26.93089430894309
Logistic regression,satisfied,satisfied,1915,48.65345528455284
Random Forest,dissatisfied,dissatisfied,421,52.690863579474346
Random Forest,dissatisfied,neutral,146,18.272841051314142
Random Forest,dissatisfied,satisfied,232,29.036295369211512
Random Forest,neutral,dissatisfied,348,16.579323487374943
Random Forest,neutral,neutral,1079,51.40543115769414
Random Forest,neutral,satisfied,672,32.01524535493092
Random Forest,satisfied,dissatisfied,320,8.130081300813007
Random Forest,satisfied,neutral,733,18.622967479674795
Random Forest,satisfied,satisfied,2883,73.2469512195122
Extra Trees,dissatisfied,dissatisfied,458,57.32165206508135
Extra Trees,dissatisfied,neutral,160,20.02503128911139
Extra Trees,dissatisfied,satisfied,181,22.65331664580726
Extra Trees,neutral,dissatisfied,467,22.248689852310623
Extra Trees,neutral,neutral,1053,50.166746069556936
Extra Trees,neutral,satisfied,579,27.584564078132445
Extra Trees,satisfied,dissatisfied,564,14.329268292682926
Extra Trees,satisfied,neutral,833,21.163617886178862
Extra Trees,satisfied,satisfied,2539,64.5071138211382
Gradient boosting,dissatisfied,dissatisfied,130,16.270337922403
Gradient boosting,dissatisfied,neutral,146,18.272841051314142
Gradient boosting,dissatisfied,satisfied,523,65.45682102628285
Gradient boosting,neutral,dissatisfied,58,2.763220581229157
Gradient boosting,neutral,neutral,707,33.68270605050024
Gradient boosting,neutral,satisfied,1334,63.5540733682706
Gradient boosting,satisfied,dissatisfied,37,0.9400406504065042
Gradient boosting,satisfied,neutral,349,8.866869918699187
Gradient boosting,satisfied,satisfied,3550,90.19308943089432
ANN / MLP,dissatisfied,dissatisfied,202,25.281602002503128
ANN / MLP,dissatisfied,neutral,224,28.035043804755944
ANN / MLP,dissatisfied,satisfied,373,46.68335419274093
ANN / MLP,neutral,dissatisfied,113,5.383515959980943
ANN / MLP,neutral,neutral,896,42.686993806574556
ANN / MLP,neutral,satisfied,1090,51.9294902334445
ANN / MLP,satisfied,dissatisfied,115,2.921747967479675
ANN / MLP,satisfied,neutral,603,15.320121951219512
ANN / MLP,satisfied,satisfied,3218,81.75813008130082
