model,fold,fit_seconds,predict_seconds,total_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,ordinal_mae
Logistic regression,1,0.19533199997385964,0.004423899983521551,0.1997558999573812,0.4806144842721288,0.4736358181561486,0.43656120394120607,0.5060126751500237,0.68983174835406
Logistic regression,2,0.20513179997215047,0.008289000019431114,0.2134207999915816,0.4952450621799561,0.5025850376152156,0.45630626467512864,0.5179457224458537,0.6700804681784931
Logistic regression,3,0.11108229996170849,0.005594699992798269,0.11667699995450675,0.47110460863204096,0.4673894737903632,0.42927155381711674,0.4958869341084503,0.6993416239941478
Logistic regression,4,0.24143490003189072,0.004516699991654605,0.24595160002354532,0.4740307242136064,0.4893825255642282,0.43954757283690893,0.501230052719953,0.7073884418434528
Logistic regression,5,0.28412730002310127,0.0053749000071547925,0.28950220003025606,0.493411420204978,0.4879025444612301,0.4475554963931731,0.5170005043540878,0.66398243045388
Random Forest,1,3.1981170999933966,0.06324380001751706,3.2613609000109136,0.6634967081199707,0.5895045481131885,0.590396685263164,0.6605796552896185,0.39941477688368693
Random Forest,2,2.8494061999954283,0.05822239996632561,2.907628599961754,0.6934893928310168,0.6214607157983906,0.6190461040572098,0.6915402352068439,0.3760058522311631
Random Forest,3,2.886702799994964,0.07313489995431155,2.9598376999492757,0.6510607168983175,0.5749248704140699,0.5754493417527989,0.649473411907295,0.4074615947329919
Random Forest,4,2.9808660999988206,0.06908139999723062,3.049947499996051,0.6708119970738844,0.6016915501905972,0.5980594567882555,0.670770019567767,0.401609363569861
Random Forest,5,2.8873288999893703,0.0680417999974452,2.9553706999868155,0.6661786237188873,0.5808682500812549,0.5796712845426265,0.6629359396570127,0.3945827232796486
Extra Trees,1,1.9974400000064634,0.07955740002216771,2.076997400028631,0.6327724945135332,0.5838947883261734,0.5670369914189967,0.6388832254218133,0.4455010972933431
Extra Trees,2,1.954574599978514,0.07446000003255904,2.029034600011073,0.6495976591075348,0.6037971954982756,0.5828131595538859,0.6578633496068167,0.4337966349670812
Extra Trees,3,1.9060308000189252,0.059882599976845086,1.9659133999957703,0.6364301389904902,0.5959712389826749,0.5762035158567576,0.643117627246583,0.4301389904901244
Extra Trees,4,1.9881602000095882,0.07187699998030439,2.0600371999898925,0.6591075347476225,0.6159424729230957,0.5954493472533865,0.6653200350849405,0.4242867593269934
Extra Trees,5,1.9822675999603234,0.06768090004334226,2.0499485000036657,0.6361639824304539,0.5793365981077749,0.5634171409999092,0.6427719413692511,0.4407027818448023
Gradient boosting,1,0.6578613999881782,0.010728200024459511,0.6685896000126377,0.6276517922457937,0.4364152850890462,0.43679615832540275,0.5750211363471271,0.46086320409656184
Gradient boosting,2,0.6268103999900632,0.007802199979778379,0.6346125999698415,0.6444769568397952,0.47622375506746534,0.49559923820470125,0.6016007822313112,0.43745427944403803
Gradient boosting,3,0.6975983000011183,0.012099800049327314,0.7096981000504456,0.6137527432333577,0.4333585446037797,0.4359562213461598,0.5686616655153037,0.47329919531821507
Gradient boosting,4,0.6261567000183277,0.013368899992201477,0.6395256000105292,0.6525237746891002,0.4729653244186281,0.487915639047769,0.607510242728865,0.43452816386247256
Gradient boosting,5,0.6699803000083193,0.0069414000026881695,0.6769217000110075,0.6339677891654466,0.45882241518181077,0.4712158713668946,0.5879793760811043,0.445095168374817
ANN / MLP,1,1.3975849999696948,0.005430900026112795,1.4030158999958076,0.6298463789319678,0.5058391823480769,0.5200826093149123,0.6175541720538041,0.4316020482809071
ANN / MLP,2,1.8582105000386946,0.005528199952095747,1.8637386999907903,0.6415508412582297,0.5433889746072084,0.556254137291743,0.6319849809872536,0.42062911485003657
ANN / MLP,3,1.3583539999672212,0.006702399987261742,1.365056399954483,0.6335040234089246,0.5031456102135898,0.5167633750877662,0.6187831909097635,0.42574981711777615
ANN / MLP,4,1.342954899999313,0.0062639000243507326,1.3492188000236638,0.6415508412582297,0.5347539884229846,0.5474352895430957,0.6340243017457661,0.4213606437454279
ANN / MLP,5,1.383309900003951,0.007783100008964539,1.3910930000129156,0.636896046852123,0.48543848348301327,0.49739704177215033,0.6044727764337933,0.44216691068814057
