model,true_label,predicted_label,count,row_percent
Logistic regression,dissatisfied,dissatisfied,397,49.68710888610764
Logistic regression,dissatisfied,neutral,209,26.157697121401753
Logistic regression,dissatisfied,satisfied,193,24.155193992490613
Logistic regression,neutral,dissatisfied,555,26.44116245831348
Logistic regression,neutral,neutral,981,46.73654121010004
Logistic regression,neutral,satisfied,563,26.82229633158647
Logistic regression,satisfied,dissatisfied,962,24.441056910569106
Logistic regression,satisfied,neutral,1052,26.727642276422763
Logistic regression,satisfied,satisfied,1922,48.831300813008134
Random Forest,dissatisfied,dissatisfied,377,47.18397997496871
Random Forest,dissatisfied,neutral,191,23.90488110137672
Random Forest,dissatisfied,satisfied,231,28.911138923654566
Random Forest,neutral,dissatisfied,261,12.434492615531205
Random Forest,neutral,neutral,1095,52.16769890424011
Random Forest,neutral,satisfied,743,35.39780848022868
Random Forest,satisfied,dissatisfied,212,5.386178861788618
Random Forest,satisfied,neutral,624,15.853658536585366
Random Forest,satisfied,satisfied,3100,78.76016260162602
Extra Trees,dissatisfied,dissatisfied,422,52.816020025031285
Extra Trees,dissatisfied,neutral,186,23.27909887359199
Extra Trees,dissatisfied,satisfied,191,23.90488110137672
Extra Trees,neutral,dissatisfied,358,17.055740828966172
Extra Trees,neutral,neutral,1126,53.64459266317294
Extra Trees,neutral,satisfied,615,29.299666507860888
Extra Trees,satisfied,dissatisfied,340,8.638211382113822
Extra Trees,satisfied,neutral,751,19.080284552845526
Extra Trees,satisfied,satisfied,2845,72.28150406504065
Gradient boosting,dissatisfied,dissatisfied,115,14.392991239048811
Gradient boosting,dissatisfied,neutral,141,17.647058823529413
Gradient boosting,dissatisfied,satisfied,543,67.95994993742178
Gradient boosting,neutral,dissatisfied,48,2.2868032396379228
Gradient boosting,neutral,neutral,676,32.20581229156741
Gradient boosting,neutral,satisfied,1375,65.50738446879465
Gradient boosting,satisfied,dissatisfied,36,0.9146341463414633
Gradient boosting,satisfied,neutral,355,9.019308943089431
Gradient boosting,satisfied,satisfied,3545,90.0660569105691
ANN / MLP,dissatisfied,dissatisfied,226,28.28535669586984
ANN / MLP,dissatisfied,neutral,249,31.1639549436796
ANN / MLP,dissatisfied,satisfied,324,40.550688360450565
ANN / MLP,neutral,dissatisfied,135,6.431634111481658
ANN / MLP,neutral,neutral,957,45.59313959028108
ANN / MLP,neutral,satisfied,1007,47.97522629823725
ANN / MLP,satisfied,dissatisfied,120,3.048780487804878
ANN / MLP,satisfied,neutral,648,16.463414634146343
ANN / MLP,satisfied,satisfied,3168,80.48780487804879
